hour,Load (kW),Air Temp,SolRad_Hor,SolRad_Dif,WS_10m,RH
1,117.92,11.09,0,0,10.69,47.72
2,117.92,10.89,0,0,12.31,54.95
3,117.92,10.7,0,0,13.93,62.18
4,117.92,10.5,0,0,15.54,69.41
5,117.92,10.31,0,0,17.16,76.63
6,117.92,10.11,0,0,18.78,83.86
7,93.17,9.92,23,22,20.4,91.09
8,93.17,9.72,70,70,22.02,98.32
9,109.548174819698,9.71,252,181,17.03,79.5
10,109.365586636285,9.53,287,231,16.55,78.05
11,110.832579138528,9.63,188,186,13.86,79.6
12,110.149554343583,9.55,333,250,14.28,78.75
13,109.71438584842,9.51,325,210,14.97,77.95
14,109.401626475885,9.53,306,100,15.66,76.6
15,109.645565868995,9.55,137,79,15.72,76.3
16,109.931890882961,9.59,0,0,15.38,76.15
17,110.432197784164,9.67,0,0,15.1,74.8
18,111.113885304496,9.8,0,0,14.97,73.85
19,110.67,9.87,0,0,14.83,73
20,110.67,9.9,0,0,14.48,73.1
21,110.67,9.97,0,0,14,72.4
22,117.92,10.11,0,0,13.45,71.45
23,117.92,10.53,0,0,13.31,70.35
24,117.92,10.55,0,0,13.79,71.55
25,117.92,10.54,0,0,13.79,72.8
26,117.92,10.57,0,0,13.79,72.7
27,117.92,10.48,0,0,13.86,74.25
28,117.92,10.4,0,0,14.07,75.7
29,117.92,10.31,0,0,14.14,76.4
30,117.92,10.23,0,0,14.14,75.75
31,93.17,10.15,38,30,14,73.9
32,93.17,10.11,106,99,13.86,71.4
33,109.813338093001,10,111,111,13.79,68.25
34,111.268028368506,9.99,427,162,13.66,66.95
35,113.162968759478,10.14,484,160,13.24,71.4
36,112.651444961883,10.16,329,252,12.69,68.95
37,112.120718912259,10.33,258,215,12.14,67.55
38,112.313691589293,10.33,79,79,11.79,67.65
39,112.048060267443,10.26,24,24,11.52,68.05
40,112.148021510554,10.21,0,0,11.17,66.15
41,112.173525852768,10.26,0,0,10.97,64.45
42,112.53896968931,10.27,0,0,10.62,63.65
43,110.67,10.23,0,0,10.21,63.3
44,110.67,10.12,0,0,9.86,62.75
45,110.67,10,0,0,9.59,62.75
46,117.92,9.9,0,0,9.1,62.8
47,117.92,9.69,0,0,8.55,68.6
48,117.92,9.45,0,0,8.07,66.3
49,117.92,9.32,0,0,7.38,65.15
50,117.92,9.24,0,0,6.97,64.2
51,117.92,9.24,0,0,6.55,62.55
52,117.92,9.3,0,0,6.21,60.1
53,117.92,9.47,0,0,6,57.8
54,117.92,9.68,0,0,5.52,56
55,93.17,9.92,52,27,4.83,54.1
56,93.17,10.16,193,94,4.07,51.8
57,109.83979555426,10.38,361,95,3.03,49.65
58,110.909996382034,10.6,473,95,2,48.05
59,113.303656093382,10.75,524,98,2.07,50.8
60,113.249885663664,11.16,515,98,1.93,53.05
61,113.032524206127,11.73,441,101,2.41,55.6
62,112.942931282513,12.29,281,133,2.83,55.85
63,112.969590769251,12.8,148,76,3.31,54.35
64,112.687069230456,13.22,0,0,3.93,52.7
65,112.95866645256,13.53,0,0,3.52,51.7
66,113.369822019115,13.71,0,0,2.07,50.85
67,110.67,13.93,0,0,1.66,50.45
68,110.67,14.14,0,0,1.86,51.7
69,110.67,14.29,0,0,2.48,53.45
70,117.92,14.42,0,0,3.79,55.45
71,117.92,14.27,0,0,4.48,53.9
72,117.92,14.36,0,0,4.97,56.3
73,117.92,14.44,0,0,5.31,59.35
74,117.92,14.51,0,0,5.93,63.2
75,117.92,14.62,0,0,7.1,66.5
76,117.92,14.88,0,0,8.41,67.35
77,117.92,15.26,0,0,9.59,66.3
78,117.92,15.52,0,0,10.21,66.5
79,93.17,15.68,38,31,10.76,67.85
80,93.17,15.92,186,99,10.83,66.65
81,111.264990821532,16.12,273,177,11.03,66.45
82,113.302612558363,16.28,216,204,11.17,66.05
83,116.337654407057,16.17,209,204,10.34,65.6
84,117.05745934486,16.27,189,186,11.52,65.85
85,116.807269745242,16.34,63,63,10.62,68.6
86,116.022397003878,16.36,55,55,10.55,71.5
87,115.934000667119,16,65,64,10.48,76.9
88,116.478363546336,16.2,0,0,10.55,76.7
89,116.623534226219,16.14,0,0,10.28,78.15
90,116.761822464021,16.09,0,0,10.07,78.3
91,110.67,16.08,0,0,10.07,75.95
92,110.67,15.92,0,0,10,76.85
93,110.67,15.9,0,0,9.52,76.5
94,117.92,15.97,0,0,9.24,75.85
95,117.92,15.89,0,0,8.9,74.7
96,117.92,15.76,0,0,9.24,74.15
97,117.92,15.41,0,0,9.31,74.45
98,117.92,14.44,0,0,8.69,75.15
99,117.92,13.55,0,0,8.69,68.4
100,117.92,13.08,0,0,10.07,64.25
101,117.92,12.7,0,0,10.76,65.6
102,117.92,12.36,0,0,10.9,68.2
103,93.17,11.98,36,29,11.31,73.25
104,93.17,11.45,65,65,12.55,76.45
105,112.388955247689,10.99,72,72,13.17,77.95
106,114.810559270351,10.67,62,62,13.24,79.35
107,118.356266655247,10.61,83,83,11.52,81.65
108,118.871492563787,9.92,65,65,11.03,83.65
109,118.289819474358,9.11,94,94,12.28,88.65
110,118.000677553423,8.16,47,47,13.24,93.2
111,117.737221703851,7.87,29,29,14.07,91
112,117.570297589769,7.98,0,0,15.17,85.55
113,117.799441771112,7.92,0,0,15.45,81.3
114,117.588391889473,8.02,0,0,15.38,76.25
115,110.67,8.16,0,0,14.55,72.05
116,110.67,8.55,0,0,13.93,68.3
117,110.67,8.8,0,0,13.59,66.2
118,117.92,8.92,0,0,13.45,67.25
119,117.92,8.16,0,0,13.52,69.2
120,117.92,8.13,0,0,12.9,70.75
121,117.92,8.46,0,0,12.21,66.1
122,117.92,8.22,0,0,11.66,63.35
123,117.92,8.38,0,0,11.1,60.5
124,117.92,8.18,0,0,10.55,57.4
125,117.92,8.15,0,0,9.93,53.55
126,117.92,8.28,0,0,9.66,50.1
127,93.17,8.45,46,30,9.38,47.55
128,93.17,8.57,213,73,8.97,44.75
129,93.17,8.58,359,101,8.28,42.85
130,93.17,8.58,285,233,7.93,41.6
131,93.17,8.01,410,238,6.83,46.85
132,93.17,8.1,462,183,6.48,45.15
133,93.17,8.13,433,125,6.34,44.3
134,93.17,8.23,329,87,6.14,44.05
135,93.17,8.41,97,86,6.41,44.25
136,93.17,8.69,0,0,6.83,46
137,93.17,8.68,0,0,6.76,48.5
138,93.17,7.76,0,0,7.31,53.7
139,108.17,7.23,0,0,8.55,57.4
140,108.17,7,0,0,9.93,67.05
141,108.17,7.38,0,0,11.24,70.05
142,117.92,7.5,0,0,11.52,68.05
143,117.92,7.47,0,0,10.48,64.15
144,117.92,7.56,0,0,10.41,60.35
145,117.92,7.57,0,0,10.9,58.15
146,117.92,7.51,0,0,11.03,58.2
147,117.92,7.56,0,0,10.9,57.15
148,117.92,7.51,0,0,10.76,55.65
149,117.92,7.5,0,0,10.55,54.8
150,117.92,7.6,0,0,10.28,53.4
151,93.17,7.79,29,26,10,51.9
152,93.17,7.92,131,110,9.52,50.85
153,93.17,8.03,292,169,9.31,50.05
154,93.17,8.03,440,154,8.9,49.4
155,93.17,7.91,354,258,8.14,50.9
156,93.17,7.95,383,247,8.07,50.1
157,93.17,7.98,217,201,7.93,50.3
158,93.17,8.1,233,167,8,50.25
159,93.17,8.31,137,90,8.21,49.2
160,93.17,8.53,11,11,8.48,48.75
161,93.17,8.53,0,0,8.76,50.95
162,93.17,8.44,0,0,9.38,53.8
163,108.17,8.26,0,0,9.79,57.9
164,108.17,8.09,0,0,10,60.4
165,108.17,8.11,0,0,9.79,61.25
166,117.92,8.28,0,0,9.72,57.9
167,117.92,8.46,0,0,9.1,57.3
168,117.92,8.39,0,0,9.24,59.05
169,117.92,8.28,0,0,9.38,60.05
170,117.92,8.25,0,0,9.31,60.75
171,117.92,8.27,0,0,9.17,61.35
172,117.92,8.34,0,0,8.62,59.05
173,117.92,8.43,0,0,8.14,56.4
174,117.92,8.49,0,0,7.93,54.85
175,93.17,8.56,49,29,7.52,53.7
176,93.17,8.59,147,113,7.17,53.45
177,112.592187320399,8.63,287,173,6.9,53.55
178,115.638266506483,8.67,145,145,6.9,53.1
179,116.974636390017,8.3,158,158,6.62,55.7
180,116.119684831541,8.28,181,180,6.21,56.3
181,114.746914218006,8.38,134,134,5.66,56.45
182,113.852480609668,8.48,123,121,4.83,56
183,113.997014156546,8.61,30,30,4.28,55.75
184,114.097432934846,8.8,7,7,4.28,55.2
185,114.344904003638,8.89,0,0,4.48,55.45
186,114.633977917412,8.94,0,0,4.48,55.95
187,110.67,9.07,0,0,4.28,54.8
188,110.67,9.23,0,0,3.93,54.6
189,110.67,9.39,0,0,4,54.7
190,117.92,9.59,0,0,4.48,55.45
191,117.92,10,0,0,4.97,55.25
192,117.92,10.01,0,0,5.45,57.35
193,117.92,9.81,0,0,5.86,61.75
194,117.92,9.77,0,0,6.21,64.25
195,117.92,9.64,0,0,6.62,66.35
196,117.92,9.5,0,0,6.83,67.4
197,117.92,9.4,0,0,6.9,67.8
198,117.92,9.33,0,0,6.76,65.3
199,93.17,9.46,55,26,7.24,63.4
200,93.17,9.65,156,113,7.45,61.9
201,111.495530641364,9.74,360,105,7.1,61.55
202,113.740036824784,9.79,450,144,6.41,61.65
203,116.167377149044,9.93,515,134,5.45,58.6
204,116.199917143172,9.83,526,105,4.41,59.5
205,115.000558071049,9.88,464,90,3.24,59.55
206,114.047898996523,9.91,349,70,1.93,59.1
207,113.553850710002,10.03,185,58,0.9,58.7
208,113.464620915953,10.37,13,13,2.14,59
209,113.214069033976,11,0,0,3.66,58.8
210,113.56182501493,12.15,0,0,5.52,55.75
211,110.67,13.27,0,0,7.24,52.5
212,110.67,13.57,0,0,8.62,54.5
213,110.67,13.44,0,0,9.93,59.9
214,117.92,13.5,0,0,10.48,61.05
215,117.92,13.75,0,0,10.41,62
216,117.92,13.99,0,0,11.24,62.8
217,117.92,14.07,0,0,10.83,63.75
218,117.92,14.35,0,0,11.52,63
219,117.92,14.66,0,0,11.45,63.55
220,117.92,14.69,0,0,12,66.25
221,117.92,14.45,0,0,11.45,71.1
222,117.92,14.54,0,0,12.14,71.6
223,93.17,14.64,29,27,12.62,72.1
224,93.17,14.74,141,113,12.41,73.45
225,111.019381110864,15.08,265,183,12.28,71.65
226,112.651232975607,15.22,371,220,12.9,71.3
227,115.081660349563,15.16,425,236,11.72,71.8
228,114.820315699922,15.19,483,173,12.41,72.2
229,113.897528890734,15.29,419,159,12.76,71.7
230,112.997358595071,15.46,339,91,13.52,70.55
231,113.040554631852,15.55,173,76,13.52,69.8
232,113.225798761069,15.7,14,14,12.9,68.6
233,113.199056442165,15.75,0,0,12,68.95
234,113.386803788211,15.75,0,0,10.83,69.8
235,110.67,15.77,0,0,9.52,70.45
236,110.67,15.78,0,0,7.93,70.75
237,110.67,15.77,0,0,6.07,70.8
238,117.92,15.76,0,0,6,71.6
239,117.92,15.83,0,0,5.59,72
240,117.92,15.83,0,0,4.62,72.25
241,117.92,15.86,0,0,4,72.3
242,117.92,15.88,0,0,3.93,73.05
243,117.92,15.88,0,0,4.55,74.4
244,117.92,15.88,0,0,4.97,76.25
245,117.92,15.89,0,0,4.97,77.4
246,117.92,15.92,0,0,5.03,78.55
247,93.17,15.92,55,27,5.79,79.65
248,93.17,15.93,227,61,6.97,80.8
249,110.974834281833,15.97,375,86,7.45,81.1
250,112.285295742492,16,417,187,7.45,80.95
251,113.652154017262,15.84,465,205,7.66,80.3
252,112.249605170183,15.86,465,197,8,80.25
253,111.012077792035,15.97,309,229,8.34,79.4
254,110.430921019653,16.05,230,173,8.62,79.1
255,109.916863312487,16.13,117,97,8.97,78.9
256,110.533050933269,16.16,15,15,8.97,79.3
257,111.101240109388,16.13,0,0,8.97,80.3
258,111.72553624316,16.13,0,0,9.1,80.35
259,110.67,16.15,0,0,9.66,80.1
260,110.67,16.13,0,0,10.21,79.55
261,110.67,16.14,0,0,11.17,79.35
262,117.92,16.2,0,0,11.45,78.65
263,117.92,16.25,0,0,9.52,79.8
264,117.92,16.29,0,0,9.93,79.35
265,117.92,16.37,0,0,10.41,79.1
266,117.92,16.46,0,0,10.76,79.4
267,117.92,16.48,0,0,11.38,80.95
268,117.92,16.37,0,0,11.03,83
269,117.92,16.28,0,0,10.62,83.55
270,117.92,16.46,0,0,10.14,81.95
271,93.17,16.56,30,27,9.86,82.15
272,93.17,16.53,136,113,10,82.6
273,109.319747829893,16.47,195,175,9.86,83.8
274,110.181110446098,16.5,185,181,9.59,83.15
275,111.642194908617,16.29,316,262,7.72,83.15
276,111.784768479726,16.08,361,261,7.86,82.55
277,111.421800013673,15.99,357,218,8.62,79.1
278,111.237789100083,15.3,340,101,11.79,72.3
279,111.176752013733,14.75,187,69,12.97,64.2
280,111.026888086063,14.43,16,16,13.52,62.2
281,110.756517110959,12.59,0,0,13.24,68.95
282,110.910131302469,9.97,0,0,12.76,78.05
283,110.67,9.05,0,0,14.69,82.8
284,110.67,9.3,0,0,15.86,81.3
285,110.67,9.63,0,0,16.34,76.15
286,117.92,10,0,0,16.21,71.35
287,117.92,10.02,0,0,15.72,71.2
288,117.92,9.79,0,0,15.66,72.35
289,117.92,9.74,0,0,15.59,75.2
290,117.92,9.53,0,0,15.24,78.45
291,117.92,9.69,0,0,15.31,75.75
292,117.92,10.22,0,0,15.45,69.6
293,117.92,10.34,0,0,15.59,65.55
294,117.92,10.32,0,0,15.86,63.45
295,93.17,10.42,51,31,15.93,61.75
296,93.17,10.53,127,110,16.21,61.6
297,93.17,10.71,166,158,16.14,60.55
298,93.17,11.01,97,97,16.34,60.05
299,93.17,11.16,102,102,15.93,61.25
300,93.17,11.22,71,71,15.38,61.95
301,93.17,11.13,66,66,13.86,60.65
302,93.17,11.31,42,42,12.62,59.75
303,93.17,11.57,32,32,12.34,58.45
304,93.17,11.46,18,18,13.17,61
305,93.17,11.23,0,0,14,65.7
306,93.17,11.37,0,0,15.59,67.25
307,108.17,11.8,0,0,16.48,68.25
308,108.17,12.29,0,0,17.38,69.7
309,108.17,12.52,0,0,17.17,70.8
310,117.92,12.49,0,0,16.76,72.55
311,117.92,12.75,0,0,16.21,72.9
312,117.92,12.79,0,0,15.59,75.05
313,117.92,12.97,0,0,14.9,73.7
314,117.92,12.67,0,0,14.76,76.95
315,117.92,12.62,0,0,14.41,78
316,117.92,12.55,0,0,14.07,77.4
317,117.92,12.45,0,0,13.66,78.1
318,117.92,12.44,0,0,13.31,75.5
319,93.17,12.51,39,32,12.69,72.7
320,93.17,12.66,221,73,12,71.25
321,93.17,12.86,382,83,11.1,70.15
322,93.17,12.92,492,97,10.28,70.65
323,93.17,12.91,548,100,9.86,72.85
324,93.17,12.92,546,95,8.48,73.85
325,93.17,12.94,480,91,6.9,73.85
326,93.17,12.98,366,71,5.59,73.15
327,93.17,13.06,201,61,4.28,71.15
328,93.17,13.15,18,18,3.1,69
329,93.17,13.23,0,0,2.48,66.6
330,93.17,13.33,0,0,2.28,64.45
331,108.17,13.46,0,0,2.9,62.55
332,108.17,13.65,0,0,4.28,63.1
333,108.17,13.86,0,0,5.45,64.65
334,117.92,14.05,0,0,6.07,66.1
335,117.92,14.95,0,0,6.55,59.75
336,117.92,15.01,0,0,7.24,59.65
337,117.92,15.01,0,0,7.86,60.35
338,117.92,14.93,0,0,8.28,62.6
339,117.92,14.76,0,0,8.62,66.9
340,117.92,14.61,0,0,9.03,70.8
341,117.92,14.58,0,0,9.38,71.65
342,117.92,14.62,0,0,9.59,70.9
343,93.17,14.67,51,31,9.59,70.9
344,93.17,14.8,220,77,9.72,70.3
345,110.409669734539,14.92,382,87,10.14,70.05
346,112.732683695954,15.05,491,101,10.28,69.5
347,114.851622195732,15.03,551,101,10.07,67.75
348,114.29734940271,15.09,546,100,9.38,65.85
349,113.323588005007,15.13,481,96,8.83,64.25
350,111.797309714351,15.16,369,71,7.79,63.2
351,110.80077326455,15.06,204,61,6.55,63.4
352,111.31435275974,14.94,18,18,5.79,62.7
353,111.006380784071,14.9,0,0,5.31,59.95
354,112.351855321616,14.89,0,0,4.9,57.4
355,110.67,14.96,0,0,4.62,53.9
356,110.67,14.98,0,0,4.21,51.55
357,110.67,14.98,0,0,3.93,50
358,117.92,14.99,0,0,3.72,48.7
359,117.92,14.87,0,0,2.83,52.3
360,117.92,14.89,0,0,2.21,50.7
361,117.92,14.92,0,0,1.79,49.7
362,117.92,14.92,0,0,1.31,49.25
363,117.92,14.88,0,0,0.83,49.3
364,117.92,14.85,0,0,0.97,49.75
365,117.92,14.8,0,0,1.03,50.4
366,117.92,14.77,0,0,0.97,50.95
367,93.17,14.72,57,28,1.45,51
368,93.17,14.63,229,67,2.28,51.3
369,110.096837404538,14.5,384,87,3.31,51.9
370,111.236293486524,14.34,475,133,4.48,53.2
371,113.881881882367,14.55,458,225,5.72,53.85
372,113.627770670912,14.31,547,106,6.28,55.65
373,113.355920143915,14.13,484,95,6.83,57.7
374,113.110117319688,14.03,365,85,7.24,59.05
375,112.518640740583,13.95,208,62,7.45,59.3
376,111.683570107695,13.9,20,20,7.17,59.15
377,111.530905037273,13.83,0,0,6.69,58.85
378,111.598075743477,13.81,0,0,6.34,58.65
379,110.67,13.83,0,0,6.07,58.5
380,110.67,13.85,0,0,5.93,58.85
381,110.67,13.86,0,0,6.07,59.3
382,117.92,13.8,0,0,6.28,60.1
383,117.92,13.85,0,0,6.21,59.15
384,117.92,13.75,0,0,5.93,60
385,117.92,13.65,0,0,5.38,60.55
386,117.92,13.57,0,0,4.62,60.65
387,117.92,13.48,0,0,4.14,61.05
388,117.92,13.39,0,0,4,61.4
389,117.92,13.34,0,0,3.72,61.55
390,117.92,13.32,0,0,3.24,61.35
391,93.17,13.29,60,28,2.97,61.15
392,93.17,13.33,233,63,2.83,61.15
393,110.213992908132,13.37,390,80,2.76,61
394,111.135023398824,13.44,502,92,2.55,60.6
395,113.384012166522,13.49,557,101,2.55,60.5
396,113.146288068389,13.53,556,95,2.14,59.9
397,113.307396193689,13.59,493,86,1.79,59.45
398,112.632243138539,13.67,379,68,1.52,59.15
399,112.365441008884,13.73,211,62,1.1,58.9
400,112.701173015821,13.77,21,21,0.9,58.8
401,112.722647130285,13.83,0,0,1.31,59.1
402,113.164117044825,13.89,0,0,1.38,59.2
403,110.67,13.93,0,0,0.83,59.5
404,110.67,13.97,0,0,1.31,60.3
405,110.67,14.04,0,0,1.66,61.15
406,117.92,14.12,0,0,2.21,61.95
407,117.92,14.24,0,0,3.38,62.75
408,117.92,14.28,0,0,3.93,64.15
409,117.92,14.34,0,0,4.07,65.8
410,117.92,14.39,0,0,4.14,67.75
411,117.92,14.42,0,0,4.41,70.05
412,117.92,14.44,0,0,4.9,72.35
413,117.92,14.42,0,0,5.1,74.1
414,117.92,14.43,0,0,5.45,74.55
415,93.17,14.41,42,34,5.59,75
416,93.17,14.47,102,98,5.66,74.55
417,111.646772487775,14.57,307,177,5.79,73.75
418,113.221748786737,14.72,426,198,5.93,72.7
419,116.454668834224,14.84,557,107,6.34,73.15
420,116.680627634374,14.99,557,101,6.48,72.7
421,116.904464295449,15.15,386,219,6.62,72.05
422,116.419783323249,15.35,193,173,6.55,70.55
423,115.733932364848,15.44,72,72,6.21,69.85
424,115.881950966705,15.54,25,25,6.34,69.7
425,116.2365331131,15.59,0,0,6.69,69.9
426,116.785612746812,15.55,0,0,6.48,70.8
427,110.67,15.45,0,0,6.28,71.7
428,110.67,15.32,0,0,6.07,72.6
429,110.67,15.28,0,0,5.93,72.6
430,117.92,15.3,0,0,5.38,72.45
431,117.92,15.33,0,0,4.28,73.2
432,117.92,15.34,0,0,4.21,74.2
433,117.92,15.36,0,0,4.97,75.45
434,117.92,15.41,0,0,5.03,76.3
435,117.92,15.37,0,0,4.69,77.4
436,117.92,15.4,0,0,4.55,77.6
437,117.92,15.44,0,0,5.03,78.25
438,117.92,15.53,0,0,6.41,79.15
439,93.17,15.61,61,30,7.52,80.6
440,93.17,15.73,236,66,8,81.95
441,112.118365205773,15.8,340,153,8.28,82.65
442,114.217452575317,15.94,505,98,8.34,82.35
443,118.22622542692,16.27,563,101,7.93,79.85
444,118.004505281364,16.3,557,107,7.86,77.8
445,117.035295036543,16.27,496,97,8,77.55
446,116.630770541202,16.19,383,76,8.14,78.1
447,116.372654846106,16.14,208,78,8,78.35
448,115.859270976954,16.1,23,23,7.66,78.3
449,116.012807699695,16.06,0,0,7.24,78.35
450,116.760924676516,16.03,0,0,6.83,78.4
451,110.67,15.98,0,0,6.48,78.6
452,110.67,15.94,0,0,6.28,78.45
453,110.67,15.89,0,0,6.07,78.4
454,117.92,15.83,0,0,5.93,78.8
455,117.92,15.71,0,0,5.31,80.55
456,117.92,15.67,0,0,5.17,80.85
457,117.92,15.6,0,0,5.03,81.2
458,117.92,15.53,0,0,4.69,81.6
459,117.92,15.44,0,0,4.48,82.2
460,117.92,15.35,0,0,4.48,82.9
461,117.92,15.27,0,0,4.76,83.85
462,117.92,15.2,0,0,5.03,85
463,93.17,15.13,51,36,4.9,86.4
464,93.17,15.17,239,64,4.83,86.1
465,93.17,15.3,368,125,4.97,85.35
466,93.17,15.44,508,98,4.9,84.7
467,93.17,15.63,567,102,4.55,84.75
468,93.17,15.75,467,229,4.34,83.85
469,93.17,15.91,291,242,4.41,82.9
470,93.17,16,262,188,4.62,82.95
471,93.17,16.06,104,98,5.03,83.75
472,93.17,16.12,23,23,5.31,83.75
473,93.17,16.2,0,0,5.45,82.2
474,93.17,16.28,0,0,5.1,80.15
475,108.17,16.29,0,0,4.34,78.9
476,108.17,16.23,0,0,3.86,78.9
477,108.17,16.12,0,0,3.86,79.2
478,117.92,16.07,0,0,4.14,79.45
479,117.92,16.04,0,0,5.03,81.35
480,117.92,16,0,0,5.38,81.5
481,117.92,16.04,0,0,5.31,81.15
482,117.92,16.08,0,0,4.69,81
483,117.92,16.25,0,0,3.79,78.95
484,117.92,16.48,0,0,3.17,76.7
485,117.92,16.66,0,0,2.76,74.2
486,117.92,16.77,0,0,2.9,73.15
487,93.17,16.74,59,34,3.59,75.35
488,93.17,16.61,231,80,4.55,79.05
489,93.17,16.49,391,95,5.17,83.05
490,93.17,16.38,505,107,5.52,85.5
491,93.17,16.39,564,113,4.76,88.7
492,93.17,16.28,562,113,4.83,90.65
493,93.17,16.25,490,121,4.83,91.25
494,93.17,16.25,370,110,4.97,91.4
495,93.17,16.23,200,93,5.17,91.4
496,93.17,16.19,26,26,5.24,91.5
497,93.17,16.09,0,0,4.9,91.8
498,93.17,15.97,0,0,4.28,91.95
499,108.17,15.85,0,0,3.86,91.7
500,108.17,15.78,0,0,3.59,90.55
501,108.17,15.67,0,0,3.66,89
502,117.92,15.53,0,0,3.38,88.45
503,117.92,15.46,0,0,2.41,94.5
504,117.92,15.35,0,0,2.34,95.05
505,117.92,15.25,0,0,2.14,95.4
506,117.92,15.14,0,0,1.59,95.6
507,117.92,15.08,0,0,0.69,94.5
508,117.92,14.95,0,0,0.41,94
509,117.92,14.95,0,0,1.79,93.5
510,117.92,15.04,0,0,3.24,93.25
511,93.17,15.34,49,37,4.55,91.2
512,93.17,15.67,216,98,5.66,89.6
513,112.337877875358,16.09,370,129,6.62,86.7
514,114.716870604883,16.41,489,138,7.1,83.25
515,115.773464793453,16.63,531,171,7.1,81.4
516,114.939725695904,16.86,513,190,6.83,76.2
517,113.822075143177,17.17,469,156,6.97,70.25
518,112.777925837584,17.46,371,113,7.72,66.3
519,111.691039517596,17.77,223,73,8.34,63.6
520,111.379607551286,17.99,26,26,8.83,61.85
521,111.82280068246,18.06,0,0,9.86,60.75
522,112.759556527202,18.04,0,0,10.69,59.8
523,110.67,18,0,0,11.24,59.6
524,110.67,17.93,0,0,11.1,60.7
525,110.67,17.9,0,0,10.9,61.85
526,117.92,17.94,0,0,11.72,62.45
527,117.92,17.99,0,0,12.21,62.9
528,117.92,17.93,0,0,11.79,65.4
529,117.92,17.72,0,0,11.24,69.6
530,117.92,17.16,0,0,10.14,77.25
531,117.92,16.35,0,0,8.83,86.15
532,117.92,15.8,0,0,7.66,87.5
533,117.92,15.58,0,0,7.24,84.2
534,117.92,15.48,0,0,6.83,80.3
535,93.17,15.38,62,35,6.76,77.25
536,93.17,15.32,235,80,6.76,75.4
537,110.947389631013,15.31,401,88,6.83,74.45
538,112.203808007201,15.35,515,104,6.62,73.25
539,113.55456770689,15.81,568,119,6.62,65.3
540,113.594357086232,15.81,576,103,7.1,64.75
541,112.710467785523,15.82,506,108,7.72,65.45
542,112.298744607804,15.8,395,84,8.76,66.4
543,111.754746361026,15.37,232,67,9.24,70.4
544,111.42061688886,15.17,27,27,9.52,72.4
545,111.829937629213,15,0,0,9.38,74.45
546,111.972623901521,14.73,0,0,9.38,71.65
547,110.67,14.98,0,0,10.76,62.85
548,110.67,13.96,0,0,11.66,69.25
549,110.67,12.13,0,0,12.07,85.15
550,117.92,12.64,0,0,12.55,79.65
551,117.92,13.12,0,0,12.48,73.3
552,117.92,13.25,0,0,12.07,73
553,117.92,12.6,0,0,11.59,82.2
554,117.92,12.92,0,0,11.17,82.7
555,117.92,13.8,0,0,10.69,75.9
556,117.92,14.17,0,0,10.62,71.8
557,117.92,14.49,0,0,10.41,68
558,117.92,14.71,0,0,10.41,65.75
559,93.17,14.87,65,35,10.14,62.95
560,93.17,15.15,203,113,9.86,61.65
561,109.40204701498,15.34,192,178,9.93,63.55
562,110.194979203327,15.37,493,144,10.55,65.65
563,109.998601651659,15.58,487,229,10.76,62.2
564,110.435246256666,14.77,489,226,10.97,67.25
565,110.28278222843,14.82,485,146,11.38,67
566,108.944048346508,14.44,341,159,12,70.85
567,108.570950411425,13.56,209,98,12.28,81.05
568,108.70193163216,13.32,31,31,11.79,85.25
569,108.993943475921,13.47,0,0,11.86,83.95
570,109.64924552822,12.94,0,0,11.66,87.05
571,110.67,13.25,0,0,11.1,84.05
572,110.67,13.91,0,0,11.31,77.35
573,110.67,14.29,0,0,11.72,75.95
574,117.92,14.08,0,0,12.07,77.95
575,117.92,13.19,0,0,11.93,86.85
576,117.92,13.53,0,0,11.38,83.5
577,117.92,13.57,0,0,10.97,82.25
578,117.92,13.3,0,0,10.55,85.2
579,117.92,13.11,0,0,10,87.6
580,117.92,13.03,0,0,9.66,87.75
581,117.92,12.97,0,0,9.59,88.05
582,117.92,13,0,0,9.24,87.3
583,93.17,13.08,74,28,8.48,85.35
584,93.17,13.34,103,100,8.07,82.2
585,109.282233867955,13.69,282,199,8.07,78.45
586,109.813017680713,13.91,499,140,8,76.3
587,110.395767962611,13.63,394,284,8.14,77.25
588,110.012879488261,13.5,352,283,8,78.7
589,110.27212036475,13.39,46,46,8.21,80.15
590,110.10404403849,13.14,379,121,8.07,81.7
591,109.821967856816,12.95,103,99,8,84.3
592,109.942554219044,13.09,34,34,7.86,83.15
593,110.117593515236,13.08,0,0,7.59,82.8
594,110.640218492777,13.37,0,0,7.1,81
595,110.67,13.57,0,0,6.62,80.1
596,110.67,13.82,0,0,6.48,78
597,110.67,13.95,0,0,6.48,77.7
598,117.92,14.07,0,0,6.14,77.05
599,117.92,14.34,0,0,6.07,72.1
600,117.92,14.38,0,0,6.41,72.35
601,117.92,14.36,0,0,6.76,72.85
602,117.92,14.33,0,0,6.76,73.95
603,117.92,14.31,0,0,6.76,75.2
604,117.92,14.36,0,0,6.48,75.5
605,117.92,14.38,0,0,6.34,76.4
606,117.92,14.35,0,0,6.07,77.5
607,93.17,14.38,64,38,5.79,78.2
608,93.17,14.52,258,57,5.24,77
609,109.82235193023,14.63,417,78,5.03,74.4
610,110.374585468243,14.77,525,104,5.24,71.35
611,111.035822391551,15.27,330,281,5.93,62.85
612,109.907891682478,15.13,484,241,6.41,64.05
613,109.331554953669,15,525,99,7.1,65.35
614,108.382275930049,15.01,412,78,8,65.5
