time_UTC,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050103:2200,7.54,79.65,0.0,-0.0,0.0,284.85,2.48,7.0,100510.0
20050103:2300,7.53,79.65,0.0,-0.0,0.0,288.15,2.97,355.0,100520.0
20050104:0000,7.46,79.65,0.0,-0.0,0.0,293.4,3.45,343.0,100510.0
20050104:0100,7.39,79.65,0.0,-0.0,0.0,302.6,4.28,340.0,100530.0
20050104:0200,7.03,82.6,0.0,-0.0,0.0,307.9,5.45,342.0,100540.0
20050104:0300,6.56,82.55,0.0,-0.0,0.0,310.05,6.28,345.0,100540.0
20050104:0400,6.12,82.55,0.0,-0.0,0.0,305.4,6.55,350.0,100610.0
20050104:0500,5.51,88.85,0.0,-0.0,0.0,310.4,6.34,355.0,100660.0
20050104:0600,5.09,88.85,34.05,0.0,34.05,310.4,6.14,356.0,100720.0
20050104:0700,5.65,85.65,87.7,79.17,71.45,316.4,6.41,354.0,100670.0
20050104:0800,5.53,88.85,171.25,156.64,118.1,322.0,6.62,359.0,100760.0
20050104:0900,5.94,82.5,167.0,68.89,137.1,320.1,7.59,5.0,100810.0
20050104:1000,6.57,76.55,336.55,328.8,177.75,316.6,7.72,8.0,100810.0
20050104:1100,7.55,68.5,324.8,420.37,121.85,302.65,7.93,7.0,100780.0
20050104:1200,8.1,63.6,270.3,366.1,111.6,289.9,7.72,6.0,100780.0
20050104:1300,8.35,59.0,214.95,414.68,74.6,295.9,7.59,5.0,100820.0
20050104:1400,8.28,59.0,82.6,228.77,35.9,271.1,6.97,4.0,100810.0
20050104:1500,7.94,58.9,1.95,0.0,1.95,267.05,5.86,1.0,100870.0
20050104:1600,7.43,58.8,0.0,-0.0,0.0,257.75,5.52,357.0,100930.0
20050104:1700,7.21,56.55,0.0,-0.0,0.0,264.75,5.03,353.0,100960.0
20050104:1800,6.89,58.65,0.0,-0.0,0.0,249.05,4.41,347.0,100990.0
20050104:1900,6.74,61.0,0.0,-0.0,0.0,257.6,4.28,347.0,101010.0
20050104:2000,6.49,63.25,0.0,-0.0,0.0,248.3,3.79,336.0,101040.0
20050104:2100,6.24,63.25,0.0,-0.0,0.0,249.85,3.45,327.0,101030.0
20050104:2200,5.99,65.65,0.0,-0.0,0.0,249.85,3.38,321.0,101050.0
20050104:2300,5.75,65.65,0.0,-0.0,0.0,245.75,3.38,320.0,101030.0
20050105:0000,5.61,63.15,0.0,-0.0,0.0,246.55,3.24,318.0,101020.0
20050105:0100,5.51,65.55,0.0,-0.0,0.0,248.2,3.03,313.0,100990.0
20050105:0200,5.47,65.55,0.0,-0.0,0.0,249.45,2.97,307.0,100960.0
20050105:0300,5.48,65.55,0.0,-0.0,0.0,249.45,2.97,303.0,100940.0
20050105:0400,5.52,68.1,0.0,-0.0,0.0,249.85,2.9,301.0,100920.0
20050105:0500,5.58,68.1,0.0,-0.0,0.0,251.4,2.83,301.0,100920.0
20050105:0600,5.65,68.2,37.32,0.0,37.32,252.75,2.76,301.0,100950.0
20050105:0700,6.62,68.4,241.1,857.73,64.75,253.7,2.41,309.0,101020.0
20050105:0800,9.12,61.45,372.8,866.59,78.15,257.2,2.34,310.0,101090.0
20050105:0900,11.0,51.25,456.7,849.08,87.25,262.2,2.21,307.0,101100.0
20050105:1000,12.34,44.35,485.7,816.93,89.95,267.85,2.97,313.0,101120.0
20050105:1100,13.16,44.35,456.0,760.51,87.45,271.3,3.79,330.0,101120.0
20050105:1200,13.6,42.8,371.9,673.63,78.45,273.85,4.0,342.0,101110.0
20050105:1300,13.76,41.35,240.35,512.74,65.6,274.4,3.79,348.0,101130.0
20050105:1400,13.5,44.5,90.75,262.28,36.55,275.2,3.17,350.0,101170.0
20050105:1500,12.6,47.85,2.05,0.0,2.05,274.2,2.41,350.0,101210.0
20050105:1600,10.81,61.85,0.0,-0.0,0.0,271.5,1.72,350.0,101240.0
20050105:1700,10.91,53.25,0.0,-0.0,0.0,269.2,1.1,347.0,101270.0
20050105:1800,11.37,47.6,0.0,-0.0,0.0,267.65,0.69,319.0,101300.0
20050105:1900,11.34,47.6,0.0,-0.0,0.0,264.95,0.83,248.0,101330.0
20050105:2000,10.98,51.25,0.0,-0.0,0.0,263.0,1.1,253.0,101340.0
20050105:2100,10.18,55.15,0.0,-0.0,0.0,261.65,1.24,254.0,101330.0
20050105:2200,10.41,55.15,0.0,-0.0,0.0,260.1,1.17,262.0,101330.0
20050105:2300,10.3,57.3,0.0,-0.0,0.0,259.7,1.1,267.0,101320.0
20050106:0000,10.11,59.35,0.0,-0.0,0.0,259.1,1.1,268.0,101300.0
20050106:0100,9.76,61.65,0.0,-0.0,0.0,259.05,1.24,267.0,101300.0
20050106:0200,8.88,66.25,0.0,-0.0,0.0,258.75,1.38,268.0,101270.0
20050106:0300,8.68,66.25,0.0,-0.0,0.0,259.3,1.38,269.0,101250.0
20050106:0400,9.27,66.35,0.0,-0.0,0.0,261.25,1.24,268.0,101220.0
20050106:0500,9.77,66.45,0.0,-0.0,0.0,259.1,1.17,264.0,101220.0
20050106:0600,9.78,69.0,39.75,0.0,39.75,259.3,1.1,257.0,101210.0
20050106:0700,8.06,76.8,247.45,886.68,64.75,258.75,1.52,241.0,101300.0
20050106:0800,10.66,71.75,381.55,887.85,78.95,261.45,1.38,233.0,101290.0
20050106:0900,13.22,62.3,469.25,876.09,87.0,264.95,1.93,227.0,101270.0
20050106:1000,14.13,58.0,500.4,845.96,89.25,269.0,2.14,223.0,101190.0
20050106:1100,14.76,52.15,471.0,789.24,87.0,271.7,2.34,219.0,101090.0
20050106:1200,15.06,52.15,384.35,695.66,79.75,273.65,2.34,214.0,101000.0
20050106:1300,15.02,52.15,251.1,539.8,65.8,274.2,2.21,207.0,100960.0
20050106:1400,14.56,56.0,96.95,284.36,37.45,274.2,1.86,199.0,100920.0
20050106:1500,13.44,64.65,2.35,0.0,2.35,272.3,1.66,192.0,100880.0
20050106:1600,11.64,74.55,0.0,-0.0,0.0,270.75,1.52,189.0,100850.0
20050106:1700,11.02,71.75,0.0,-0.0,0.0,269.6,1.24,193.0,100810.0
20050106:1800,11.85,66.85,0.0,-0.0,0.0,269.0,0.97,207.0,100780.0
20050106:1900,10.29,71.7,0.0,-0.0,0.0,267.05,1.31,211.0,100790.0
20050106:2000,10.16,71.7,0.0,-0.0,0.0,266.3,1.31,257.0,100760.0
20050106:2100,7.62,82.65,0.0,-0.0,0.0,264.75,2.0,296.0,100740.0
20050106:2200,7.61,82.65,0.0,-0.0,0.0,263.75,2.9,311.0,100740.0
20050106:2300,7.97,82.7,0.0,-0.0,0.0,263.4,3.45,319.0,100710.0
20050107:0000,7.85,82.7,0.0,-0.0,0.0,267.05,3.66,321.0,100710.0
20050107:0100,7.78,85.85,0.0,-0.0,0.0,263.3,3.72,322.0,100700.0
20050107:0200,7.74,89.05,0.0,-0.0,0.0,266.65,3.72,321.0,100690.0
20050107:0300,7.87,89.05,0.0,-0.0,0.0,263.95,3.72,321.0,100710.0
20050107:0400,8.12,82.7,0.0,-0.0,0.0,261.45,4.0,322.0,100720.0
20050107:0500,8.66,71.4,0.0,-0.0,0.0,261.65,4.69,326.0,100760.0
20050107:0600,9.03,63.8,36.6,0.0,36.6,260.65,6.28,337.0,100790.0
20050107:0700,9.87,64.0,237.2,834.67,64.75,264.75,6.69,342.0,100840.0
20050107:0800,10.78,64.25,356.1,762.55,95.5,278.3,7.59,348.0,100890.0
20050107:0900,11.18,62.0,385.2,650.22,100.65,279.85,9.03,1.0,100940.0
20050107:1000,11.44,64.35,243.25,228.21,131.95,297.65,9.45,11.0,100990.0
20050107:1100,10.85,64.25,390.35,590.08,102.05,324.15,8.14,7.0,100990.0
20050107:1200,10.81,66.65,312.65,491.61,96.25,288.35,8.69,6.0,101030.0
20050107:1300,10.44,69.1,176.75,292.06,75.75,295.9,8.28,4.0,101060.0
20050107:1400,10.08,71.6,71.75,147.22,40.55,310.4,7.59,3.0,101100.0
20050107:1500,9.54,71.5,2.15,0.0,2.15,292.2,8.14,3.0,101170.0
20050107:1600,8.93,74.15,0.0,-0.0,0.0,294.75,7.79,3.0,101220.0
20050107:1700,8.65,74.15,0.0,-0.0,0.0,291.85,7.24,3.0,101260.0
20050107:1800,8.67,76.95,0.0,-0.0,0.0,296.1,7.45,7.0,101310.0
20050107:1900,8.75,74.15,0.0,-0.0,0.0,290.65,7.38,12.0,101310.0
20050107:2000,8.71,74.15,0.0,-0.0,0.0,304.4,7.59,13.0,101330.0
20050107:2100,8.67,74.15,0.0,-0.0,0.0,296.65,7.52,14.0,101350.0
20050107:2200,8.62,74.05,0.0,-0.0,0.0,293.4,7.66,15.0,101390.0
20050107:2300,8.38,74.05,0.0,-0.0,0.0,271.9,7.72,13.0,101390.0
20050108:0000,8.34,71.35,0.0,-0.0,0.0,278.85,7.86,13.0,101380.0
20050108:0100,8.25,68.7,0.0,-0.0,0.0,271.8,7.79,13.0,101390.0
20050108:0200,8.09,71.25,0.0,-0.0,0.0,266.5,7.59,14.0,101360.0
20050108:0300,8.09,71.25,0.0,-0.0,0.0,270.55,7.45,14.0,101380.0
20050108:0400,8.06,71.25,0.0,-0.0,0.0,266.65,7.38,13.0,101400.0
20050108:0500,8.05,68.6,0.0,-0.0,0.0,272.3,7.24,12.0,101440.0
20050108:0600,7.97,68.6,33.8,0.0,33.8,261.85,7.1,11.0,101490.0
20050108:0700,8.56,63.7,245.05,842.12,70.5,260.65,7.17,10.0,101490.0
20050108:0800,9.48,57.05,383.1,875.63,82.95,266.3,7.72,11.0,101540.0
20050108:0900,10.34,53.1,466.5,852.08,92.4,259.7,7.86,10.0,101520.0
20050108:1000,11.07,49.3,502.6,837.28,92.75,268.6,7.72,8.0,101470.0
20050108:1100,11.57,47.6,473.9,781.91,90.2,264.15,7.59,7.0,101390.0
20050108:1200,11.85,45.95,387.55,692.25,81.15,265.7,7.38,6.0,101380.0
20050108:1300,11.77,47.75,257.5,546.55,67.05,261.85,7.03,5.0,101380.0
20050108:1400,11.36,51.35,102.35,295.56,38.9,262.8,6.48,3.0,101390.0
20050108:1500,10.57,57.3,2.85,0.0,2.85,259.5,5.24,0.0,101420.0
20050108:1600,9.61,63.9,0.0,-0.0,0.0,259.5,4.41,357.0,101440.0
20050108:1700,8.9,66.25,0.0,-0.0,0.0,254.85,3.79,352.0,101480.0
20050108:1800,8.34,68.7,0.0,-0.0,0.0,254.3,3.24,345.0,101500.0
20050108:1900,8.22,71.35,0.0,-0.0,0.0,253.7,3.17,343.0,101450.0
20050108:2000,7.81,73.95,0.0,-0.0,0.0,253.5,2.76,335.0,101480.0
