time_UTC,T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150312:0700,9.37,71.5,448.6,767.83,119.9,272.1,4.0,322.0,99800.0
20150312:0800,10.19,66.55,586.6,788.22,131.95,283.5,3.93,321.0,99810.0
20150312:0900,10.96,64.25,628.55,706.65,145.35,277.3,3.93,321.0,99830.0
20150312:1000,11.59,62.0,692.25,727.2,152.85,289.1,3.86,320.0,99830.0
20150312:1100,12.16,57.65,666.3,685.59,154.35,287.2,3.59,317.0,99790.0
20150312:1200,12.52,53.6,612.95,681.2,137.2,295.9,3.31,314.0,99760.0
20150312:1300,12.8,49.85,480.2,612.7,112.55,290.85,2.97,313.0,99720.0
20150312:1400,12.86,48.0,283.2,398.8,100.4,287.95,2.55,311.0,99720.0
20150312:1500,12.66,47.85,124.25,247.49,54.2,301.1,2.14,307.0,99730.0
20150312:1600,12.26,49.7,7.8,25.0,5.65,283.9,1.17,308.0,99770.0
20150312:1700,11.8,49.6,0.0,-0.0,0.0,281.2,0.62,349.0,99820.0
20150312:1800,11.13,53.25,0.0,-0.0,0.0,268.4,0.83,52.0,99880.0
20150312:1900,8.68,71.4,0.0,-0.0,0.0,269.75,1.38,67.0,99900.0
20150312:2000,8.43,71.35,0.0,-0.0,0.0,267.45,1.24,72.0,99960.0
20150312:2100,7.76,76.8,0.0,-0.0,0.0,272.85,1.31,71.0,99970.0
20150312:2200,6.95,82.6,0.0,-0.0,0.0,273.85,1.52,63.0,99980.0
20150312:2300,6.33,85.7,0.0,-0.0,0.0,274.05,1.86,56.0,99980.0
20150313:0000,6.09,88.9,0.0,-0.0,0.0,268.6,2.07,53.0,99980.0
20150313:0100,6.31,85.7,0.0,-0.0,0.0,281.5,2.21,52.0,99960.0
20150313:0200,6.72,82.6,0.0,-0.0,0.0,277.5,2.48,54.0,99940.0
20150313:0300,6.9,82.6,0.0,-0.0,0.0,287.75,2.69,56.0,99940.0
20150313:0400,6.9,82.6,0.0,-0.0,0.0,290.3,2.9,59.0,99940.0
20150313:0500,7.27,79.65,39.25,0.0,39.25,308.65,3.24,62.0,99930.0
20150313:0600,7.93,79.7,50.1,6.52,48.45,309.45,3.38,62.0,99930.0
20150313:0700,8.53,79.75,86.55,7.73,83.2,330.35,4.34,51.0,99900.0
20150313:0800,8.89,82.85,160.05,53.45,128.95,341.75,4.9,57.0,99890.0
20150313:0900,9.33,79.9,223.15,76.67,170.35,338.1,5.66,67.0,99850.0
20150313:1000,9.83,77.1,288.7,99.21,214.65,331.3,5.52,75.0,99810.0
20150313:1100,10.52,77.15,375.5,192.84,230.65,328.4,5.45,88.0,99770.0
20150313:1200,10.97,80.1,200.55,37.22,174.4,324.75,4.97,90.0,99680.0
20150313:1300,11.14,83.05,217.3,146.04,129.1,342.55,4.69,85.0,99620.0
20150313:1400,10.53,89.25,82.4,3.68,80.7,335.2,4.69,79.0,99570.0
20150313:1500,10.13,89.2,12.9,1.22,12.55,346.2,4.55,71.0,99570.0
20150313:1600,9.73,89.2,2.3,0.56,2.25,359.2,4.41,59.0,99550.0
20150313:1700,9.27,89.15,0.0,-0.0,0.0,347.2,4.48,37.0,99570.0
20150313:1800,8.91,89.1,0.0,-0.0,0.0,347.0,4.97,14.0,99610.0
20150313:1900,8.34,82.75,0.0,-0.0,0.0,339.25,7.31,354.0,99620.0
20150313:2000,8.06,82.7,0.0,-0.0,0.0,342.95,7.17,341.0,99630.0
20150313:2100,8.04,82.7,0.0,-0.0,0.0,342.35,7.31,337.0,99650.0
20150313:2200,8.1,82.7,0.0,-0.0,0.0,327.45,7.59,334.0,99680.0
20150313:2300,8.18,79.75,0.0,-0.0,0.0,335.0,7.38,334.0,99720.0
20150314:0000,8.35,79.75,0.0,-0.0,0.0,343.3,6.76,332.0,99750.0
20150314:0100,8.45,79.75,0.0,-0.0,0.0,331.05,6.21,329.0,99800.0
20150314:0200,8.5,79.75,0.0,-0.0,0.0,323.95,6.07,326.0,99840.0
20150314:0300,8.37,76.85,0.0,-0.0,0.0,303.45,5.93,325.0,99900.0
20150314:0400,8.15,79.7,0.0,-0.0,0.0,287.4,5.59,323.0,99950.0
20150314:0500,7.99,79.7,44.55,0.0,44.55,284.3,5.31,321.0,100040.0
20150314:0600,8.54,76.85,288.15,793.01,83.4,271.3,4.9,320.0,100140.0
20150314:0700,9.69,69.0,488.9,880.59,102.85,279.05,5.31,323.0,100190.0
20150314:0800,10.86,64.25,597.25,811.32,121.1,278.65,5.93,333.0,100230.0
20150314:0900,11.8,59.85,668.8,744.82,152.25,280.2,5.72,335.0,100260.0
20150314:1000,12.43,55.65,667.1,612.81,206.85,296.65,5.24,332.0,100290.0
20150314:1100,12.88,53.7,575.25,482.57,210.65,301.7,4.69,330.0,100320.0
20150314:1200,13.14,51.75,615.5,666.27,144.65,324.15,4.14,329.0,100350.0
20150314:1300,13.43,51.75,483.95,617.92,108.35,307.3,3.59,334.0,100380.0
20150314:1400,13.38,51.75,282.1,377.7,106.2,300.15,3.1,344.0,100390.0
20150314:1500,12.97,53.7,126.75,259.65,51.45,292.6,2.69,0.0,100480.0
20150314:1600,12.34,57.75,9.75,33.99,6.6,303.05,2.28,22.0,100520.0
20150314:1700,11.11,66.65,0.0,-0.0,0.0,276.35,2.21,46.0,100610.0
20150314:1800,10.1,71.6,0.0,-0.0,0.0,271.3,2.28,60.0,100690.0
20150314:1900,9.26,77.0,0.0,-0.0,0.0,274.2,2.07,66.0,100760.0
20150314:2000,8.46,82.75,0.0,-0.0,0.0,273.65,1.86,62.0,100830.0
20150314:2100,7.63,85.8,0.0,-0.0,0.0,273.85,1.72,55.0,100860.0
20150314:2200,7.09,89.0,0.0,-0.0,0.0,277.9,1.72,46.0,100900.0
20150314:2300,6.54,88.95,0.0,-0.0,0.0,272.3,1.72,37.0,100920.0
20150315:0000,6.25,88.95,0.0,-0.0,0.0,273.45,1.79,30.0,100950.0
20150315:0100,6.12,92.3,0.0,-0.0,0.0,273.95,1.93,27.0,100960.0
20150315:0200,6.35,88.95,0.0,-0.0,0.0,279.65,2.14,26.0,100960.0
20150315:0300,6.44,88.95,0.0,-0.0,0.0,272.65,2.21,23.0,100990.0
20150315:0400,6.22,88.95,0.0,-0.0,0.0,270.95,2.21,20.0,101010.0
20150315:0500,5.81,92.3,48.55,0.0,48.55,271.7,2.14,17.0,101060.0
20150315:0600,7.4,89.0,288.65,724.51,97.8,277.1,1.86,15.0,101120.0
20150315:0700,9.75,77.1,500.35,870.58,114.2,279.05,1.79,3.0,101200.0
20150315:0800,11.37,62.0,629.65,854.19,124.05,285.85,2.34,6.0,101230.0
20150315:0900,12.4,57.75,733.95,842.05,145.9,274.6,2.48,7.0,101250.0
20150315:1000,13.33,55.75,669.4,616.82,203.3,292.6,2.34,1.0,101270.0
20150315:1100,13.79,51.9,658.45,600.74,201.95,305.2,2.14,355.0,101230.0
20150315:1200,14.2,51.9,568.8,531.66,190.9,308.3,2.0,354.0,101220.0
20150315:1300,14.27,50.1,411.6,403.14,165.0,310.8,1.86,359.0,101200.0
20150315:1400,14.04,51.9,262.3,337.71,103.8,322.05,1.79,16.0,101200.0
20150315:1500,13.54,55.75,123.35,216.56,59.8,308.3,2.14,38.0,101230.0
20150315:1600,12.6,59.95,10.75,36.46,7.25,288.95,2.76,45.0,101280.0
20150315:1700,11.23,64.35,0.0,-0.0,0.0,277.5,3.03,47.0,101350.0
20150315:1800,10.24,69.1,0.0,-0.0,0.0,270.75,3.24,41.0,101400.0
20150315:1900,9.73,71.6,0.0,-0.0,0.0,276.95,3.17,33.0,101460.0
20150315:2000,9.23,74.2,0.0,-0.0,0.0,271.3,3.1,22.0,101460.0
20150315:2100,8.89,76.95,0.0,-0.0,0.0,273.45,2.97,9.0,101470.0
20150315:2200,8.69,76.95,0.0,-0.0,0.0,278.3,3.03,358.0,101470.0
20150315:2300,8.66,79.75,0.0,-0.0,0.0,287.0,3.24,351.0,101470.0
20150316:0000,8.73,76.95,0.0,-0.0,0.0,300.55,3.38,348.0,101450.0
20150316:0100,8.92,79.85,0.0,-0.0,0.0,322.5,3.52,350.0,101420.0
20150316:0200,9.03,79.85,0.0,-0.0,0.0,329.95,3.72,354.0,101400.0
20150316:0300,9.04,82.85,0.0,-0.0,0.0,323.75,3.93,356.0,101400.0
20150316:0400,9.07,82.85,0.0,-0.0,0.0,323.0,4.14,358.0,101420.0
20150316:0500,9.19,79.9,40.3,0.0,40.3,329.95,4.48,1.0,101450.0
20150316:0600,9.65,79.9,217.55,394.75,111.5,330.55,4.76,2.0,101510.0
20150316:0700,10.49,69.1,278.3,223.64,177.95,313.9,6.14,13.0,101640.0
20150316:0800,11.04,64.25,408.9,223.32,275.6,320.3,6.83,17.0,101630.0
20150316:0900,11.66,62.0,509.45,339.68,270.6,338.85,7.1,18.0,101590.0
20150316:1000,12.1,59.85,542.8,270.9,336.85,335.75,7.1,17.0,101540.0
20150316:1100,12.3,57.75,549.55,381.7,257.85,337.1,7.1,16.0,101490.0
20150316:1200,12.25,57.75,502.75,340.56,259.3,323.2,7.24,16.0,101420.0
20150316:1300,12.05,59.85,359.95,223.15,222.6,332.85,7.31,17.0,101360.0
20150316:1400,11.63,62.0,174.5,106.68,124.05,328.6,7.31,17.0,101330.0
20150316:1500,11.1,64.25,69.4,30.49,60.35,343.7,7.03,15.0,101350.0
20150316:1600,10.75,64.25,5.85,2.52,5.6,338.3,6.34,11.0,101380.0
20150316:1700,10.41,66.55,0.0,-0.0,0.0,339.85,6.14,10.0,101420.0
20150316:1800,10.26,66.55,0.0,-0.0,0.0,340.6,6.21,9.0,101410.0
20150316:1900,10.03,69.0,0.0,-0.0,0.0,329.4,6.28,14.0,101460.0
20150316:2000,10.14,69.0,0.0,-0.0,0.0,337.5,6.28,15.0,101450.0
20150316:2100,10.1,69.0,0.0,-0.0,0.0,327.45,6.21,15.0,101430.0
20150316:2200,9.97,69.0,0.0,-0.0,0.0,323.4,6.28,14.0,101400.0
20150316:2300,9.64,68.9,0.0,-0.0,0.0,292.4,6.14,12.0,101380.0
20150317:0000,9.28,68.9,0.0,-0.0,0.0,277.7,6.07,10.0,101350.0
20150317:0100,8.98,68.8,0.0,-0.0,0.0,282.25,6.28,9.0,101310.0
20150317:0200,8.54,68.7,0.0,-0.0,0.0,270.15,6.41,8.0,101230.0
20150317:0300,8.16,68.6,0.0,-0.0,0.0,265.5,6.28,5.0,101230.0
20150317:0400,7.85,66.05,0.0,-0.0,0.0,269.0,6.21,3.0,101200.0
20150317:0500,7.62,71.15,93.9,517.61,55.45,264.75,6.28,3.0,101230.0
20150317:0600,8.08,71.25,249.75,379.71,145.75,293.4,6.07,3.0,101230.0
20150317:0700,9.14,66.25,273.7,185.52,189.5,294.75,7.52,13.0,101250.0
20150317:0800,9.54,66.35,372.05,179.35,264.1,321.45,7.24,13.0,101250.0
20150317:0900,10.14,64.0,511.5,285.4,309.45,325.3,7.03,13.0,101230.0
20150317:1000,10.88,59.6,532.15,250.66,340.45,318.55,6.9,11.0,101180.0
20150317:1100,11.39,55.4,604.95,372.48,318.7,317.55,6.69,9.0,101130.0
20150317:1200,11.8,51.5,534.9,347.07,285.4,296.65,6.76,8.0,101050.0
20150317:1300,11.94,51.5,378.25,210.49,247.9,307.3,6.83,9.0,100970.0
20150317:1400,11.58,53.35,225.65,93.6,181.05,303.65,6.76,10.0,100940.0
20150317:1500,10.97,55.3,94.55,39.63,82.65,299.55,6.76,11.0,100950.0
20150317:1600,10.34,59.5,9.15,5.36,8.6,295.1,6.28,11.0,100970.0
20150317:1700,9.82,64.0,0.0,-0.0,0.0,300.15,5.79,9.0,100980.0
20150317:1800,9.54,66.35,0.0,-0.0,0.0,290.85,5.31,6.0,100990.0
20150317:1900,9.46,63.9,0.0,-0.0,0.0,285.85,4.9,9.0,101000.0
20150317:2000,9.22,63.9,0.0,-0.0,0.0,276.15,4.83,10.0,101000.0
20150317:2100,9.15,68.8,0.0,-0.0,0.0,306.75,4.97,12.0,100980.0
20150317:2200,8.81,68.8,0.0,-0.0,0.0,304.8,5.17,13.0,100950.0
20150317:2300,8.32,71.35,0.0,-0.0,0.0,287.0,5.24,12.0,100960.0
20150318:0000,8.03,73.95,0.0,-0.0,0.0,305.0,5.31,9.0,100920.0
20150318:0100,7.65,73.9,0.0,-0.0,0.0,298.7,5.52,6.0,100900.0
20150318:0200,7.33,68.5,0.0,-0.0,0.0,304.2,5.59,5.0,100870.0
20150318:0300,6.96,68.4,0.0,-0.0,0.0,286.4,5.52,3.0,100850.0
20150318:0400,6.6,68.3,0.0,-0.0,0.0,279.85,5.31,3.0,100830.0
20150318:0500,6.39,68.3,117.2,644.8,65.9,269.4,5.31,4.0,100850.0
20150318:0600,6.84,68.4,300.05,641.82,120.9,265.3,5.24,2.0,100850.0
20150318:0700,7.84,61.2,497.9,788.26,136.1,265.3,5.31,9.0,100880.0
20150318:0800,8.83,56.9,631.35,734.59,185.55,268.05,5.45,11.0,100910.0
20150318:0900,9.63,54.9,733.35,785.17,173.75,274.4,5.59,14.0,100890.0
20150318:1000,10.26,49.2,805.6,859.18,144.65,277.9,5.66,16.0,100880.0
20150318:1100,10.85,47.45,718.65,698.81,178.65,278.65,5.72,17.0,100830.0
20150318:1200,10.86,45.7,622.4,635.61,162.95,286.2,5.72,17.0,100790.0
20150318:1300,10.78,47.45,431.35,449.84,151.1,287.6,5.72,15.0,100750.0
20150318:1400,10.33,49.2,291.85,391.24,104.05,285.05,5.52,13.0,100760.0
20150318:1500,9.72,51.0,141.85,271.23,59.5,280.6,5.45,10.0,100790.0
20150318:1600,8.81,54.8,13.5,46.77,8.55,263.95,4.9,9.0,100820.0
20150318:1700,7.8,58.9,0.0,-0.0,0.0,256.6,4.69,10.0,100850.0
20150318:1800,7.11,63.35,0.0,-0.0,0.0,256.4,4.07,11.0,100880.0
20150318:1900,6.59,65.75,0.0,-0.0,0.0,252.95,3.93,7.0,100890.0
20150318:2000,6.23,65.75,0.0,-0.0,0.0,251.4,3.59,1.0,100890.0
20150318:2100,5.9,70.85,0.0,-0.0,0.0,251.95,3.31,351.0,100870.0
20150318:2200,5.6,73.55,0.0,-0.0,0.0,249.25,3.17,340.0,100870.0
20150318:2300,5.42,73.55,0.0,-0.0,0.0,257.95,3.03,333.0,100840.0
20150319:0000,5.21,73.55,0.0,-0.0,0.0,255.25,3.03,331.0,100790.0
20150319:0100,5.05,76.3,0.0,-0.0,0.0,258.85,2.83,330.0,100750.0
20150319:0200,4.84,76.3,0.0,-0.0,0.0,252.75,2.76,329.0,100690.0
20150319:0300,4.69,76.3,0.0,-0.0,0.0,252.55,2.62,332.0,100710.0
20150319:0400,4.54,82.3,0.0,-0.0,0.0,254.85,2.41,338.0,100680.0
20150319:0500,4.46,82.3,135.35,995.34,50.9,251.2,2.28,342.0,100710.0
20150319:0600,5.79,76.5,337.25,897.78,81.95,249.25,2.0,341.0,100730.0
20150319:0700,7.95,61.2,514.5,868.65,111.35,263.4,2.28,336.0,100780.0
20150319:0800,9.05,54.8,670.4,887.35,127.5,260.65,1.93,350.0,100800.0
20150319:0900,10.05,52.95,759.9,863.28,140.55,270.15,1.45,345.0,100790.0
20150319:1000,10.95,49.3,785.3,780.41,181.45,269.2,1.31,312.0,100740.0
20150319:1100,11.69,49.45,743.4,726.56,178.9,284.3,1.79,273.0,100680.0
20150319:1200,12.06,49.6,617.35,629.69,159.7,282.75,2.34,253.0,100590.0
20150319:1300,12.11,49.6,500.65,586.57,133.05,294.15,2.41,237.0,100510.0
20150319:1400,12.01,51.5,287.65,356.98,115.05,282.15,2.83,224.0,100460.0
20150319:1500,11.54,53.35,124.25,187.17,66.8,308.65,3.38,216.0,100420.0
20150319:1600,10.89,57.4,10.95,28.88,7.8,304.4,3.24,211.0,100410.0
20150319:1700,10.08,64.0,0.0,-0.0,0.0,297.65,2.9,204.0,100420.0
20150319:1800,9.5,68.9,0.0,-0.0,0.0,293.55,2.76,199.0,100410.0
20150319:1900,9.17,68.9,0.0,-0.0,0.0,289.9,2.69,191.0,100410.0
20150319:2000,8.97,74.15,0.0,-0.0,0.0,290.1,2.55,190.0,100390.0
20150319:2100,8.8,74.15,0.0,-0.0,0.0,291.05,2.14,196.0,100330.0
20150319:2200,8.08,82.7,0.0,-0.0,0.0,289.3,1.45,213.0,100290.0
20150319:2300,8.15,82.7,0.0,-0.0,0.0,300.55,1.17,262.0,100220.0
20150320:0000,7.54,85.8,0.0,-0.0,0.0,288.35,1.79,298.0,100200.0
20150320:0100,8.02,82.7,0.0,-0.0,0.0,310.5,2.48,325.0,100190.0
20150320:0200,7.71,82.7,0.0,-0.0,0.0,312.75,3.59,348.0,100200.0
20150320:0300,7.42,82.65,0.0,-0.0,0.0,315.25,4.21,1.0,100230.0
20150320:0400,6.78,85.75,0.0,-0.0,0.0,281.75,3.93,3.0,100270.0
20150320:0500,6.34,85.7,126.35,820.96,52.35,263.95,3.38,354.0,100340.0
20150320:0600,7.12,82.6,314.85,734.11,102.25,273.05,3.52,346.0,100400.0
20150320:0700,8.36,66.15,482.4,752.63,129.25,267.85,4.62,348.0,100390.0
20150320:0800,9.3,59.25,634.5,781.93,152.25,282.75,5.45,349.0,100390.0
20150320:0900,10.03,52.95,668.95,687.69,172.35,271.5,5.79,348.0,100380.0
20150320:1000,10.53,47.35,741.65,774.94,138.6,274.6,5.93,344.0,100370.0
20150320:1100,10.84,43.95,673.5,644.21,170.3,263.95,6.21,341.0,100370.0
20150320:1200,10.64,45.55,654.2,696.47,145.3,276.35,6.34,345.0,100370.0
20150320:1300,10.39,47.35,444.25,523.28,114.4,272.3,6.76,353.0,100370.0
20150320:1400,9.66,52.85,282.3,374.47,99.95,276.15,6.55,3.0,100400.0
20150320:1500,8.79,56.9,107.7,185.5,50.15,279.45,6.34,10.0,100430.0
20150320:1600,7.81,63.6,12.0,35.18,8.05,277.7,5.79,13.0,100470.0
20150320:1700,7.0,68.4,0.0,-0.0,0.0,266.1,4.69,12.0,100540.0
20150320:1800,6.48,70.95,0.0,-0.0,0.0,263.6,3.86,10.0,100600.0
20150320:1900,5.87,68.2,0.0,-0.0,0.0,264.95,3.79,6.0,100640.0
20150320:2000,5.69,68.2,0.0,-0.0,0.0,272.1,3.45,357.0,100690.0
20150320:2100,5.4,73.55,0.0,-0.0,0.0,257.75,3.24,349.0,100720.0
20150320:2200,5.17,73.55,0.0,-0.0,0.0,255.45,3.1,339.0,100760.0
20150320:2300,4.9,76.3,0.0,-0.0,0.0,248.3,3.03,333.0,100750.0
20150321:0000,4.69,76.3,0.0,-0.0,0.0,247.5,2.97,332.0,100750.0
20150321:0100,4.5,79.2,0.0,-0.0,0.0,246.65,2.83,331.0,100730.0
20150321:0200,4.38,79.2,0.0,-0.0,0.0,249.65,2.76,328.0,100710.0
20150321:0300,4.2,79.2,0.0,-0.0,0.0,240.55,2.62,327.0,100720.0
20150321:0400,4.03,82.25,0.0,-0.0,0.0,240.95,2.48,326.0,100730.0
20150321:0500,3.98,82.25,151.95,1032.63,53.4,239.0,2.21,323.0,100790.0
20150321:0600,5.68,73.65,358.6,938.33,81.95,239.0,2.07,315.0,100840.0
20150321:0700,8.03,54.55,552.95,955.6,99.7,244.05,2.76,321.0,100930.0
20150321:0800,9.29,48.95,705.45,960.27,108.5,250.8,3.17,333.0,100950.0
20150321:0900,10.34,45.55,802.9,941.12,118.9,254.65,3.03,338.0,100960.0
20150321:1000,11.31,40.8,827.1,881.11,137.55,254.65,2.69,336.0,100920.0
20150321:1100,12.19,39.4,782.65,819.18,139.4,266.1,2.48,323.0,100850.0
20150321:1200,12.56,38.0,714.45,823.92,109.25,270.55,2.14,309.0,100790.0
20150321:1300,12.85,36.7,559.4,720.7,102.5,260.85,1.86,301.0,100720.0
20150321:1400,12.92,36.7,367.9,573.86,86.5,262.2,1.45,294.0,100690.0
20150321:1500,12.73,36.7,163.8,340.0,57.2,262.8,1.03,280.0,100680.0
20150321:1600,12.27,39.5,16.75,58.87,9.95,261.45,0.83,234.0,100690.0
20150321:1700,10.59,61.75,0.0,-0.0,0.0,259.7,1.24,192.0,100700.0
20150321:1800,8.98,66.25,0.0,-0.0,0.0,258.15,1.72,178.0,100740.0
20150321:1900,8.85,59.15,0.0,-0.0,0.0,257.6,2.62,196.0,100770.0
20150321:2000,8.14,66.05,0.0,-0.0,0.0,257.0,2.48,202.0,100780.0
20150321:2100,7.48,68.5,0.0,-0.0,0.0,256.4,2.41,207.0,100760.0
20150321:2200,6.84,71.05,0.0,-0.0,0.0,255.45,2.28,212.0,100750.0
20150321:2300,6.2,73.7,0.0,-0.0,0.0,255.25,2.21,215.0,100680.0
20150322:0000,5.61,79.35,0.0,-0.0,0.0,254.3,2.0,213.0,100670.0
20150322:0100,5.55,79.35,0.0,-0.0,0.0,253.8,1.86,212.0,100630.0
20150322:0200,5.65,76.5,0.0,-0.0,0.0,253.9,1.72,210.0,100610.0
20150322:0300,5.49,79.35,0.0,-0.0,0.0,254.5,1.72,205.0,100600.0
20150322:0400,5.2,79.35,0.0,-0.0,0.0,254.1,1.86,201.0,100590.0
20150322:0500,5.12,82.35,149.9,937.62,55.45,253.1,2.0,198.0,100610.0
20150322:0600,7.34,79.65,345.75,832.69,95.9,256.05,1.79,193.0,100630.0
20150322:0700,10.83,61.85,535.75,875.5,116.05,261.65,1.79,195.0,100720.0
20150322:0800,11.95,57.65,674.05,838.6,148.65,266.5,2.14,187.0,100700.0
20150322:0900,12.85,53.7,745.7,746.97,199.35,275.4,2.62,188.0,100690.0
20150322:1000,13.42,55.75,730.35,595.34,261.85,282.15,3.1,197.0,100660.0
20150322:1100,13.81,53.85,537.0,247.3,341.8,295.5,3.38,202.0,100600.0
20150322:1200,13.57,55.75,408.7,124.2,317.0,309.05,3.45,203.0,100560.0
20150322:1300,13.17,55.75,289.75,146.81,196.15,320.3,3.31,194.0,100470.0
20150322:1400,12.61,57.75,259.55,290.43,116.15,314.65,3.66,191.0,100460.0
20150322:1500,12.18,62.1,131.35,228.87,58.85,309.45,3.31,183.0,100420.0
20150322:1600,11.69,66.75,13.55,40.86,8.7,293.0,3.17,176.0,100370.0
20150322:1700,10.87,69.15,0.0,-0.0,0.0,298.05,2.55,175.0,100360.0
20150322:1800,10.37,71.7,0.0,-0.0,0.0,301.1,2.28,169.0,100360.0
20150322:1900,10.09,74.3,0.0,-0.0,0.0,311.95,2.34,192.0,100380.0
20150322:2000,9.95,74.3,0.0,-0.0,0.0,317.2,2.14,196.0,100380.0
20150322:2100,9.79,74.3,0.0,-0.0,0.0,319.3,2.0,195.0,100360.0
20150322:2200,9.42,79.9,0.0,-0.0,0.0,320.85,1.66,184.0,100340.0
20150322:2300,9.5,79.9,0.0,-0.0,0.0,318.55,2.21,168.0,100270.0
20150323:0000,9.74,77.1,0.0,-0.0,0.0,317.75,2.62,161.0,100190.0
20150323:0100,9.53,79.9,0.0,-0.0,0.0,307.6,2.07,162.0,100150.0
20150323:0200,8.77,85.95,0.0,-0.0,0.0,302.5,1.86,160.0,100150.0
20150323:0300,8.15,89.05,0.0,-0.0,0.0,302.85,1.72,128.0,100140.0
20150323:0400,8.07,92.4,0.0,-0.0,0.0,304.6,2.34,108.0,100080.0
20150323:0500,8.5,92.4,117.8,482.88,66.6,307.7,2.28,110.0,100090.0
20150323:0600,10.68,92.5,295.75,622.59,105.7,310.2,2.07,110.0,100100.0
20150323:0700,12.2,83.15,436.15,553.84,167.85,313.1,1.45,70.0,100190.0
20150323:0800,13.73,74.85,417.5,341.01,202.2,321.45,1.59,116.0,100190.0
20150323:0900,14.45,74.95,475.75,347.62,219.9,329.75,1.45,152.0,100200.0
20150323:1000,15.01,72.4,517.05,341.42,246.9,343.9,1.59,165.0,100180.0
20150323:1100,15.59,72.45,413.05,232.56,228.55,355.5,1.72,177.0,100140.0
20150323:1200,15.77,70.0,420.35,286.61,207.65,357.85,2.0,188.0,100100.0
20150323:1300,15.76,72.55,302.3,226.1,157.35,359.4,1.93,179.0,100030.0
20150323:1400,15.64,75.1,224.25,217.96,115.9,354.15,1.93,174.0,100030.0
20150323:1500,15.24,77.8,94.4,134.22,51.45,354.55,1.86,162.0,100010.0
20150323:1600,14.56,83.4,5.9,6.15,5.15,348.95,1.66,142.0,100030.0
20150323:1700,13.94,86.35,0.0,-0.0,0.0,369.25,1.38,120.0,100080.0
20150323:1800,13.59,89.4,0.0,-0.0,0.0,369.25,1.31,90.0,100140.0
20150323:1900,12.39,83.25,0.0,-0.0,0.0,354.15,3.17,50.0,100250.0
20150323:2000,11.99,80.2,0.0,-0.0,0.0,363.45,3.59,42.0,100330.0
20150323:2100,11.63,80.15,0.0,-0.0,0.0,362.65,3.31,32.0,100340.0
20150323:2200,11.46,80.15,0.0,-0.0,0.0,365.0,3.17,24.0,100380.0
20150323:2300,11.23,80.15,0.0,-0.0,0.0,363.05,3.1,17.0,100350.0
20150324:0000,11.14,83.05,0.0,-0.0,0.0,364.2,3.03,12.0,100340.0
20150324:0100,11.0,83.05,0.0,-0.0,0.0,361.8,2.9,9.0,100320.0
20150324:0200,10.89,83.05,0.0,-0.0,0.0,357.25,2.83,8.0,100310.0
20150324:0300,10.82,83.05,0.0,-0.0,0.0,353.95,2.76,8.0,100320.0
20150324:0400,10.76,83.05,0.0,-0.0,0.0,352.4,2.69,8.0,100330.0
20150324:0500,10.83,83.05,70.25,203.91,47.55,352.6,2.55,10.0,100390.0
20150324:0600,11.37,83.1,209.55,245.93,133.2,358.4,2.69,14.0,100450.0
20150324:0700,12.64,77.45,355.75,338.33,190.15,335.4,3.31,44.0,100530.0
20150324:0800,13.78,72.2,448.15,328.06,239.45,342.75,3.24,50.0,100570.0
20150324:0900,14.74,67.35,481.2,269.93,281.3,346.8,2.41,50.0,100590.0
20150324:1000,15.29,65.05,488.2,331.41,224.55,347.95,1.93,53.0,100570.0
20150324:1100,15.68,65.05,582.6,398.33,265.0,338.65,1.86,51.0,100540.0
20150324:1200,15.96,62.85,432.05,248.78,246.5,358.6,1.86,49.0,100480.0
20150324:1300,16.12,62.85,349.05,241.87,193.15,360.55,1.79,52.0,100430.0
20150324:1400,15.89,62.85,263.1,313.44,106.25,342.75,1.52,56.0,100430.0
20150324:1500,15.43,65.05,124.25,174.04,68.0,329.0,1.59,62.0,100410.0
20150324:1600,14.52,69.75,15.6,44.0,10.1,320.85,1.93,65.0,100400.0
20150324:1700,13.31,74.75,0.0,-0.0,0.0,307.9,2.07,57.0,100480.0
20150324:1800,12.21,74.7,0.0,-0.0,0.0,305.4,2.55,51.0,100550.0
20150324:1900,11.49,80.15,0.0,-0.0,0.0,308.5,2.62,50.0,100610.0
20150324:2000,10.94,83.05,0.0,-0.0,0.0,306.95,2.48,42.0,100610.0
20150324:2100,10.44,83.0,0.0,-0.0,0.0,303.45,2.07,41.0,100580.0
20150324:2200,9.84,86.0,0.0,-0.0,0.0,293.55,1.66,27.0,100580.0
20150324:2300,9.55,89.15,0.0,-0.0,0.0,302.85,2.34,36.0,100490.0
20150325:0000,9.33,89.15,0.0,-0.0,0.0,304.8,2.28,27.0,100440.0
20150325:0100,9.17,92.45,0.0,-0.0,0.0,316.5,2.0,27.0,100380.0
20150325:0200,9.05,92.45,0.0,-0.0,0.0,323.95,2.07,32.0,100320.0
20150325:0300,8.84,89.1,0.0,-0.0,0.0,317.2,2.28,37.0,100240.0
20150325:0400,8.72,89.1,0.0,-0.0,0.0,319.1,2.07,34.0,100200.0
20150325:0500,8.87,92.45,61.6,3.0,61.25,324.15,1.93,35.0,100190.0
20150325:0600,9.43,89.15,89.45,31.84,79.4,324.95,1.59,22.0,100200.0
20150325:0700,11.03,83.05,61.7,0.0,61.7,342.75,2.14,42.0,100230.0
