hour,Load (kW),Air Temp,SolRad_Hor,SolRad_Dif,WS_10m,scaling_factor,Modified Load (kW)
4341,93.17,24.75,0.0,0.0,3.23,1.0,93.17
4342,117.92,24.78,0.0,0.0,3.25,1.0,117.92
4343,117.92,24.81,0.0,0.0,3.26,1.0,117.92
4344,117.92,24.84,0.0,0.0,3.28,1.0,117.92
4345,117.92,24.86,0.0,0.0,3.3,1.0,117.92
4346,117.92,24.89,0.0,0.0,3.31,1.0,117.92
4347,117.92,24.92,0.0,0.0,3.33,1.0,117.92
4348,117.92,24.95,0.0,0.0,3.35,1.0,117.92
4349,117.92,24.98,134.0,59.0,3.36,1.0,117.92
4350,102.92,25.01,326.0,99.0,3.38,1.0,102.92
4351,93.17,25.03,521.0,127.0,3.39,1.0,93.17
4352,93.17,25.06,701.0,147.0,3.41,1.0,93.17
4353,93.17,30.15,859.0,147.0,5.93,1.0,93.17
4354,93.17,31.34,958.0,157.0,5.93,1.0,93.17
4355,93.17,32.28,1001.0,165.0,5.79,1.0,93.17
4356,93.17,32.98,990.0,165.0,5.45,1.0,93.17
4357,93.17,33.41,920.0,162.0,5.03,1.0,93.17
4358,93.17,33.69,797.0,154.0,4.69,1.0,93.17
4359,93.17,33.71,636.0,138.0,4.41,1.0,93.17
4360,93.17,33.35,443.0,121.0,4.21,1.0,93.17
