season,avg_capacity_needed_wh,p95_capacity_needed_wh,max_capacity_needed_wh,p95_charging_w,p95_discharging_w,avg_capacity_needed_kwh,p95_capacity_needed_kwh,max_capacity_needed_kwh
Winter,2272051.1698009414,2708257.562863948,2959739.6208969187,87160.40423643595,117920.0,2272.0511698009414,2708.257562863948,2959.7396208969185
Spring,1898839.1976008632,2561229.2321577375,2941615.785859614,99476.48214780989,117920.0,1898.8391976008631,2561.2292321577374,2941.6157858596143
Summer,1872928.7412653822,2005715.3038415886,2038879.7193037742,71562.40443237587,119607.1403763578,1872.928741265382,2005.7153038415886,2038.8797193037742
Fall,2110004.5998538444,2422618.7132282243,2753018.817203444,89817.30672824093,117920.0,2110.0045998538444,2422.6187132282244,2753.018817203444
