,config,ghi_total,dni_total,dhi_total,our_poa_total,pvlib_poa_total,beam_poa,diffuse_poa,reflected_poa,theoretical_incident,theoretical_dc_stc,actual_incident,actual_dc_ideal,actual_ac,incident_diff_pct,dc_diff_pct
Baseline,"{'name': 'Baseline', 'tilt': 37.98983, 'azimuth': 180.0}",1862402.0,1298211.792813134,586070.0,1451215.92409888,1451215.92409888,819645.7878380412,631570.136260839,49325.71205905326,2013547582.527955,293977947.04908144,2013547582.5279553,260337331.14542302,231919581.67359766,1.1840722373306638e-14,11.443244720000004
Optimal,"{'name': 'Optimal', 'tilt': 47.53966081602744, 'azimuth': 120.72307041343377}",1862402.0,1298211.792813134,586070.0,1914648.4189897703,1914648.4189897703,1126496.905097851,788151.5138919193,75641.52853448797,2656555534.8641167,387857108.090161,2656555534.864116,343473670.0474889,294951601.58423567,1.794945191038573e-14,11.443244720000013
