datetime,SolRad_Hor,SolRad_Dif,Air Temp,zenith,azimuth,DNI,Load (kW),total_irradiance,effective_irradiance,cell_temperature,dc_power_raw_per_panel,temperature_factor,dc_power_output_per_panel,dc_power_output,ac_power_output,E_incident,E_effective,E_dc,E_ac,E_loss_shading_soiling,E_loss_temperature,E_loss_inverter,E_loss_total,weighting_factor,mismatch,weighted_mismatch,E_ac_Wh
2023-02-11 03:00:00+02:00,0.0,0.0,15.61,140.8136823880403,62.195725820438554,0.0,117.92,0.0,0.0,15.61,0.0,1.041316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-11 04:00:00+02:00,0.0,0.0,15.65,129.77006153691354,75.74376365137016,0.0,117.92,0.0,0.0,15.65,0.0,1.04114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-11 05:00:00+02:00,0.0,0.0,15.77,118.0971409161184,86.24427181393207,0.0,117.92,0.0,0.0,15.77,0.0,1.040612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-11 06:00:00+02:00,0.0,0.0,15.94,106.2816657781988,95.42740230205186,0.0,93.17,0.0,0.0,15.94,0.0,1.039864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.17,0.0,0.0
2023-02-11 07:00:00+02:00,0.0,0.0,16.19,94.63803050059421,104.30706489666659,0.0,93.17,0.0,0.0,16.19,0.0,1.038764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.17,0.0,0.0
2023-02-11 08:00:00+02:00,466.0,107.0,16.4,83.32736830201381,113.62637538565025,406.45423578238797,93.17,584.4786902492485,543.5651819318011,34.664959070289015,130.45564366363226,0.9574741800907284,124.90791045504452,105547.18433451261,101325.2969611321,810019.9573967346,753318.5603789632,105547.18433451261,101325.2969611321,56701.39701777138,647771.3760444507,4221.8873733805085,708694.6604356025,0.0,-75.31465366348021,0.0,101325.2969611321
2023-02-11 09:00:00+02:00,589.0,116.0,16.61,73.0408622539532,124.06892867396044,662.6828297468118,93.17,804.643536477146,748.3184889237457,41.75511051491081,179.59643734169896,0.9262775137343924,166.3561414564235,140570.93953067786,134948.10194945073,1115143.005228861,1037082.9948628407,140570.93953067786,134948.10194945073,78060.01036602026,896512.0553321629,5622.837581227126,980194.9032794102,0.0,-73.87315270700634,0.0,134948.10194945073
2023-02-11 10:00:00+02:00,651.0,126.0,16.42,64.0136036167004,136.32815822923743,769.8217290645496,93.17,918.2843111311333,854.004409351954,45.11638472284792,204.96105824446894,0.9114879072194692,186.8195260407387,157862.4995044242,151547.99952424722,1272635.993389815,1183551.473852528,157862.4995044242,151547.99952424722,89084.51953728707,1025688.9743481039,6314.499980176974,1121087.993865568,0.0,-72.839535194257,0.0,151547.99952424722
2023-02-11 11:00:00+02:00,653.0,127.0,16.57,56.98755627863879,150.98254881118123,956.4748746054647,93.17,1062.2928071694748,987.9323106676115,49.76665022404609,237.10375456022675,0.8910267390141972,211.26578523382142,178519.58852257908,171378.8049816759,1472215.1359176638,1369160.0764034274,178519.58852257908,171378.8049816759,103055.0595142364,1190640.4878808483,7140.783540903183,1300836.3309359879,0.0,-74.30818121229763,0.0,171378.8049816759
2023-02-11 12:00:00+02:00,590.0,122.0,16.68,52.82238986973157,168.0438431718826,774.0028153738216,93.17,797.8881112995032,742.0359435085379,41.614003478109474,178.08862644204908,0.9268983846963184,165.07006018192135,139484.20085372354,133904.8328195746,1105780.7661842562,1028376.1125513582,139484.20085372354,133904.8328195746,77404.653632898,888891.9116976346,5579.368034148938,971875.9333646816,0.0,-74.45135235475433,0.0,133904.8328195746
2023-02-11 13:00:00+02:00,472.0,108.0,16.78,52.23137357882462,186.38573615154615,335.45451256852704,93.17,347.6771500659021,323.3397495612889,27.64491093955944,77.60153989470933,0.9883623918659384,76.69844358281496,64810.18482747864,62217.77743437949,481840.3732805076,448111.54715087207,64810.18482747864,62217.77743437949,33728.82612963556,383301.3623233934,2592.407393099151,419622.5958461281,0.0,-68.6067440550119,0.0,62217.77743437949
2023-02-11 14:00:00+02:00,301.0,96.0,16.8,55.33184012813655,204.03148893311345,80.35748864663857,93.17,134.0447642421831,124.66163074523028,20.988898882568222,29.918791378855264,1.0176488449166998,30.446823487995776,25727.56584735643,24698.46321346217,185770.5610693958,172766.62179453808,25727.56584735643,24698.46321346217,13003.939274857723,147039.05594718165,1029.1026338942575,161072.09785593362,0.0,-72.28479299663573,0.0,24698.46321346217
2023-02-11 15:00:00+02:00,92.0,65.0,16.71,61.55379356410381,219.48950601255916,0.0,93.17,59.49265430978168,55.32816850809696,18.569145447180677,13.27876044194327,1.028295760032405,13.654493060936288,11538.046636491163,11076.524771031516,82449.94747178462,76678.45114875969,11538.046636491163,11076.524771031516,5771.496323024927,65140.40451226853,461.5218654596465,71373.4227007531,0.0,-84.96097426555905,0.0,11076.524771031516
2023-02-11 16:00:00+02:00,0.0,0.0,16.59,70.03798421964142,232.46053659317366,0.0,93.17,0.0,0.0,16.59,0.0,1.037004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.17,0.0,0.0
2023-02-11 17:00:00+02:00,0.0,0.0,16.54,80.00190248023843,243.41172051327368,0.0,93.17,0.0,0.0,16.54,0.0,1.037224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.17,0.0,0.0
2023-02-11 18:00:00+02:00,0.0,0.0,16.55,91.05480896478767,253.02838165049445,0.0,108.17,0.0,0.0,16.55,0.0,1.03718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.17,0.0,0.0
2023-02-11 19:00:00+02:00,0.0,0.0,16.57,102.5779345279617,261.9988949403494,0.0,108.17,0.0,0.0,16.57,0.0,1.037092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.17,0.0,0.0
2023-02-11 20:00:00+02:00,0.0,0.0,16.62,114.35701669660098,271.03596494592995,0.0,108.17,0.0,0.0,16.62,0.0,1.036872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.17,0.0,0.0
2023-02-11 21:00:00+02:00,0.0,0.0,16.66,126.0927500876745,281.0407584914444,0.0,117.92,0.0,0.0,16.66,0.0,1.036696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-11 22:00:00+02:00,0.0,0.0,16.29,137.36934021814605,293.4551229975309,0.0,117.92,0.0,0.0,16.29,0.0,1.038324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-11 23:00:00+02:00,0.0,0.0,16.31,147.3877364911632,310.93579883938565,0.0,117.92,0.0,0.0,16.31,0.0,1.038236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-12 00:00:00+02:00,0.0,0.0,16.45,154.3721403051894,337.543663009895,0.0,117.92,0.0,0.0,16.45,0.0,1.03762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-12 01:00:00+02:00,0.0,0.0,16.8,155.44122351817813,12.22431456364734,0.0,117.92,0.0,0.0,16.8,0.0,1.0360800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
2023-02-12 02:00:00+02:00,0.0,0.0,17.09,149.94226150945877,42.01667417329361,0.0,117.92,0.0,0.0,17.09,0.0,1.034804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117.92,0.0,0.0
