Scenario,Optimal_Tilt_deg,Optimal_Azimuth_deg,Total_Production_kWh,Self_Sufficiency_pct,Self_Consumption_pct,Constraint_Satisfied,Optimal_Battery_Capacity_kWh,Battery_Self_Consumption_pct,Battery_Self_Sufficiency_pct,Battery_Cycles_per_Year,Battery_Payback_Years,Total_Investment_EUR,NPV_EUR,IRR_percent,Payback_Period_Years,LCOE_EUR_per_kWh
Maximize Production,54.220128651397836,117.02693446680648,296527.6746466766,24.388082855835073,78.3410953380063,True,101.0,88.27097383298202,27.47931739166823,342.9800558694477,4.900204079351439,394420.0,1341562.832431532,33.92221999354661,3.1200478160595173,0.03678052893491247
Best Economics,46.96382692181442,120.94080347543893,294685.14247329533,24.580821992021583,79.45392776985122,True,101.0,89.3434202609724,27.640354243464603,339.46260963711325,4.950979050989551,394420.0,1344548.5237034615,33.96899297833443,3.115944701495504,0.036957860040026644
Maximize Self-Consumption,76.07498033142133,243.90105225217118,91424.92783229952,9.598147434382843,100.0,True,101.0,100.03866560339532,9.60185861600312,0.4117647058823529,inf,394420.0,848270.9712139297,25.338976606726654,4.18494544111008,0.05649507229163528
Maximize Self-Sufficiency,40.0933810378056,121.92094689878272,290203.2004402453,24.638960119600597,80.87185156702488,True,101.0,90.68923855024961,27.62999101194868,331.86221578242373,5.064367647112321,394420.0,1342455.6135549995,33.928198004141464,3.119931836495751,0.03731683695166226
Balanced Approach,47.53966081602744,120.72307041343377,294951.6015842357,24.57071796454029,79.34951884350271,True,101.0,89.24287468666266,27.634212988682126,339.90228899042546,4.944574730283697,394420.0,1344521.5200982196,33.96891677752137,3.1159337295908176,0.03693547601710015
