tilt_angle;azimuth_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
0.00;153.22;100467.61;208859.95
0.00;257.04;100467.61;208859.95
0.00;127.88;100467.61;208859.95
0.00;107.18;100467.61;208859.95
0.00;198.04;100467.61;208859.95
0.00;98.18;100467.61;208859.95
0.00;216.80;100467.61;208859.95
0.00;170.07;100467.61;208859.95
0.00;139.64;100467.61;208859.95
0.00;257.53;100467.61;208859.95
0.00;160.56;100467.61;208859.95
0.00;194.05;100467.61;208859.95
0.00;197.82;100467.61;208859.95
0.00;171.01;100467.61;208859.95
0.00;186.16;100467.61;208859.95
0.00;123.20;100467.61;208859.95
0.00;191.10;100467.61;208859.95
0.00;177.55;100467.61;208859.95
0.00;137.01;100467.61;208859.95
0.00;247.49;100467.61;208859.95
0.00;266.65;100467.61;208859.95
0.00;147.10;100467.61;208859.95
0.00;187.70;100467.61;208859.95
0.00;146.44;100467.61;208859.95
0.00;228.08;100467.61;208859.95
0.00;101.69;100467.61;208859.95
0.00;259.03;100467.61;208859.95
0.00;139.49;100467.61;208859.95
0.00;145.18;100467.61;208859.95
0.00;202.80;100467.61;208859.95
0.00;136.70;100467.61;208859.95
0.00;157.10;100467.61;208859.95
0.00;185.96;100467.61;208859.95
0.00;161.34;100467.61;208859.95
0.00;254.28;100467.61;208859.95
0.00;203.92;100467.61;208859.95
0.00;110.75;100467.61;208859.95
0.00;147.67;100467.61;208859.95
0.00;98.66;100467.61;208859.95
0.00;149.38;100467.61;208859.95
0.00;194.50;100467.61;208859.95
0.00;128.18;100467.61;208859.95
0.00;196.44;100467.61;208859.95
0.00;119.74;100467.61;208859.95
0.00;232.22;100467.61;208859.95
0.00;98.48;100467.61;208859.95
0.00;161.87;100467.61;208859.95
0.00;182.56;100467.61;208859.95
0.00;167.72;100467.61;208859.95
0.00;155.56;100467.61;208859.95
0.00;186.95;100467.61;208859.95
0.00;126.24;100467.61;208859.95
0.00;165.66;100467.61;208859.95
0.00;253.22;100467.61;208859.95
0.00;126.77;100467.61;208859.95
0.00;165.16;100467.61;208859.95
0.00;146.35;100467.61;208859.95
0.00;180.22;100467.61;208859.95
0.00;198.12;100467.61;208859.95
0.00;197.48;100467.61;208859.95
0.00;124.79;100467.61;208859.95
0.00;215.49;100467.61;208859.95
0.00;105.23;100467.61;208859.95
0.00;184.38;100467.61;208859.95
0.00;114.76;100467.61;208859.95
0.00;146.01;100467.61;208859.95
0.00;134.58;100467.61;208859.95
0.00;149.15;100467.61;208859.95
0.00;257.03;100467.61;208859.95
0.00;206.58;100467.61;208859.95
0.00;106.70;100467.61;208859.95
0.00;122.00;100467.61;208859.95
0.00;186.81;100467.61;208859.95
0.00;265.06;100467.61;208859.95
0.00;165.94;100467.61;208859.95
0.00;232.38;100467.61;208859.95
0.00;240.76;100467.61;208859.95
0.00;266.80;100467.61;208859.95
0.00;198.07;100467.61;208859.95
0.00;243.58;100467.61;208859.95
0.00;240.05;100467.61;208859.95
0.00;98.83;100467.61;208859.95
0.00;204.09;100467.61;208859.95
0.00;206.56;100467.61;208859.95
0.00;209.91;100467.61;208859.95
0.00;146.39;100467.61;208859.95
0.00;177.92;100467.61;208859.95
0.00;192.03;100467.61;208859.95
0.00;114.21;100467.61;208859.95
0.00;202.83;100467.61;208859.95
0.00;238.05;100467.61;208859.95
0.00;210.81;100467.61;208859.95
0.00;132.11;100467.61;208859.95
0.00;141.43;100467.61;208859.95
0.00;229.26;100467.61;208859.95
0.00;127.45;100467.61;208859.95
0.00;100.64;100467.61;208859.95
0.00;203.68;100467.61;208859.95
0.00;120.70;100467.61;208859.95
0.00;162.77;100467.61;208859.95
0.00;263.75;100467.61;208859.95
0.00;185.73;100467.61;208859.95
0.00;177.55;100467.61;208859.95
0.00;100.37;100467.61;208859.95
0.00;241.14;100467.61;208859.95
0.00;168.66;100467.61;208859.95
0.00;107.40;100467.61;208859.95
0.00;167.82;100467.61;208859.95
0.00;233.77;100467.61;208859.95
0.00;90.71;100467.61;208859.95
0.00;155.78;100467.61;208859.95
0.00;172.89;100467.61;208859.95
0.00;269.53;100467.61;208859.95
0.00;102.15;100467.61;208859.95
0.00;260.33;100467.61;208859.95
0.00;196.99;100467.61;208859.95
0.00;197.55;100467.61;208859.95
0.00;106.80;100467.61;208859.95
0.00;185.45;100467.61;208859.95
0.00;186.07;100467.61;208859.95
0.00;207.11;100467.61;208859.95
0.00;260.94;100467.61;208859.95
0.00;169.12;100467.61;208859.95
0.00;169.02;100467.61;208859.95
0.00;113.88;100467.61;208859.95
0.00;185.22;100467.61;208859.95
