tilt,azimuth,mismatch,production,distance_from_optimal,is_optimal
28.477447337287508,91.08569101130175,133591.09725167134,269043.8371839628,33.54101966249684,False
28.477447337287508,101.08569101130175,133541.17175014206,273910.4364167627,25.0,False
28.477447337287508,111.08569101130175,133415.6388439639,276430.209564695,18.027756377319946,False
28.477447337287508,121.08569101130175,133094.5631376908,276537.64223964245,15.0,False
28.477447337287508,131.08569101130175,132501.01531112287,274218.8425585349,18.027756377319946,False
28.477447337287508,141.08569101130175,131640.92883503676,269505.4611364588,25.0,False
28.477447337287508,151.08569101130175,130846.27088452717,262483.8583973272,33.54101966249684,False
33.47744733728751,91.08569101130175,135325.5274579275,274832.1186226984,31.622776601683793,False
33.47744733728751,101.08569101130175,135466.4556001753,280430.61882653565,22.360679774997898,False
33.47744733728751,111.08569101130175,135407.4296255209,283332.0635257734,14.142135623730951,False
33.47744733728751,121.08569101130175,134977.14542944773,283480.72190854396,10.0,False
33.47744733728751,131.08569101130175,134235.73644109064,280860.2304954372,14.142135623730951,False
33.47744733728751,141.08569101130175,133090.39550789696,275493.0062561636,22.360679774997898,False
33.47744733728751,151.08569101130175,131827.37458123546,267456.9128288142,31.622776601683793,False
38.47744733728751,91.08569101130175,137220.92704559007,279163.72647945373,30.4138126514911,False
38.47744733728751,101.08569101130175,137496.2785235598,285441.1022510755,20.615528128088304,False
38.47744733728751,111.08569101130175,137457.5970247975,288704.1884617877,11.180339887498949,False
38.47744733728751,121.08569101130175,136914.88214710928,288900.2593986877,5.0,False
38.47744733728751,131.08569101130175,135946.73914994588,286007.6191625299,11.180339887498949,False
38.47744733728751,141.08569101130175,134522.23527863546,280038.43464653805,20.615528128088304,False
38.47744733728751,151.08569101130175,132823.67806327657,271065.2726813685,30.4138126514911,False
43.47744733728751,91.08569101130175,139017.37717364848,282030.96443471924,30.0,False
43.47744733728751,101.08569101130175,139414.87165136507,288949.23155902035,20.0,False
43.47744733728751,111.08569101130175,139399.8968220834,292571.7186884303,10.0,False
43.47744733728751,121.08569101130175,138711.38376214885,292816.08702909644,0.0,True
43.47744733728751,131.08569101130175,137469.5193716907,289671.9071067963,10.0,False
43.47744733728751,141.08569101130175,135787.8976322567,283143.01103276626,20.0,False
43.47744733728751,151.08569101130175,133734.88928822023,273301.0251943743,30.0,False
48.47744733728751,91.08569101130175,140630.26374794779,283455.9066787068,30.4138126514911,False
48.47744733728751,101.08569101130175,141108.15141812153,290979.2703716852,20.615528128088304,False
48.47744733728751,111.08569101130175,141076.5096498055,294936.18774644786,11.180339887498949,False
48.47744733728751,121.08569101130175,140281.77491869987,295239.6552394086,5.0,False
48.47744733728751,131.08569101130175,138739.72936515216,291867.02095637657,11.180339887498949,False
48.47744733728751,141.08569101130175,136805.92521051137,284817.1164625943,20.615528128088304,False
48.47744733728751,151.08569101130175,134465.8633397918,274166.8817075124,30.4138126514911,False
53.47744733728751,91.08569101130175,141989.78056436614,283455.3942983971,31.622776601683793,False
53.47744733728751,101.08569101130175,142490.20975320393,291552.95326688385,22.360679774997898,False
53.47744733728751,111.08569101130175,142453.68310266922,295818.8782280953,14.142135623730951,False
53.47744733728751,121.08569101130175,141511.67340627802,296184.00825343025,10.0,False
53.47744733728751,131.08569101130175,139709.16542559574,292600.38386994414,14.142135623730951,False
53.47744733728751,141.08569101130175,137502.30265760823,285073.42015482637,22.360679774997898,False
53.47744733728751,151.08569101130175,134953.15927949836,273673.11940319266,31.622776601683793,False
58.47744733728751,91.08569101130175,143231.49298924103,282052.4210116873,33.54101966249684,False
58.47744733728751,101.08569101130175,143605.52617693107,290686.13968461106,25.0,False
58.47744733728751,111.08569101130175,143487.52598153442,295247.08505042084,18.027756377319946,False
58.47744733728751,121.08569101130175,142347.27852589454,295664.69486210146,15.0,False
58.47744733728751,131.08569101130175,140340.2558671226,291886.02344204154,18.027756377319946,False
58.47744733728751,141.08569101130175,137891.41778888088,283923.4448196186,25.0,False
58.47744733728751,151.08569101130175,135248.7357004131,271830.72874871944,33.54101966249684,False
