tilt_angle;azimuth_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
26.89;138.00;98383.79;268927.95
26.94;138.09;98388.25;268961.95
26.59;136.85;98392.84;269027.37
25.63;133.17;98400.25;269044.64
26.22;135.20;98411.75;269185.15
25.80;133.53;98416.72;269193.43
25.52;132.20;98424.76;269213.84
25.88;133.62;98427.83;269288.29
25.16;130.04;98450.27;269317.09
27.78;139.45;98460.38;269470.37
25.93;132.97;98468.37;269601.99
27.32;137.82;98473.07;269651.10
25.92;132.65;98481.88;269702.44
26.38;134.35;98487.20;269790.13
26.86;135.91;98493.79;269857.50
26.08;132.75;98508.27;269921.90
27.97;138.79;98535.58;270091.02
26.00;131.73;98540.34;270151.61
26.81;134.54;98559.96;270373.03
26.25;132.28;98566.02;270376.28
27.67;137.29;98570.46;270424.15
27.26;135.87;98573.80;270481.84
27.31;135.99;98576.05;270497.75
26.46;132.76;98582.40;270520.74
26.69;133.62;98586.26;270569.03
26.22;131.50;98596.13;270593.68
26.98;134.49;98597.13;270665.26
26.42;131.99;98613.53;270748.38
26.42;131.78;98623.49;270820.82
26.58;132.23;98632.18;270904.97
26.41;131.41;98638.77;270929.02
26.81;132.97;98642.19;271003.08
27.23;134.52;98642.62;271017.82
27.65;135.88;98647.74;271048.12
26.89;133.03;98653.37;271092.36
28.04;136.94;98660.36;271118.97
27.12;133.71;98664.10;271183.09
26.29;129.99;98679.14;271189.97
26.38;130.07;98694.52;271312.28
26.45;130.39;98694.59;271327.45
28.21;136.89;98697.27;271391.31
26.75;131.58;98698.37;271403.28
27.21;133.30;98704.03;271486.14
27.82;135.37;98712.45;271542.99
27.36;133.65;98715.80;271576.42
28.20;136.39;98726.86;271623.62
27.07;132.24;98730.36;271667.85
26.66;130.35;98739.50;271669.69
27.76;134.58;98744.49;271791.46
27.33;132.95;98747.77;271810.87
27.23;132.43;98753.13;271845.74
28.18;135.68;98765.04;271918.36
26.90;130.67;98775.27;271954.02
27.59;133.38;98777.48;272033.32
26.68;129.27;98795.90;272037.57
27.08;131.00;98796.20;272124.00
27.40;132.21;98801.26;272197.88
27.44;132.33;98801.79;272203.32
27.44;131.99;98819.55;272328.03
27.41;131.87;98820.26;272330.63
27.32;131.39;98826.19;272361.28
27.77;133.10;98830.27;272416.20
27.84;133.34;98832.28;272430.62
28.52;135.59;98842.58;272454.62
27.88;133.03;98857.59;272609.95
27.61;131.86;98863.81;272645.16
27.87;132.84;98865.78;272668.08
27.52;131.05;98886.22;272784.95
27.99;132.79;98893.55;272860.89
27.69;131.52;98898.00;272881.20
28.13;133.20;98900.85;272907.03
28.01;132.63;98906.68;272951.59
27.38;129.79;98920.28;272982.59
27.28;129.15;98929.10;273017.64
27.35;129.37;98935.20;273072.44
28.24;132.89;98942.42;273191.19
27.80;130.89;98955.10;273268.00
28.29;132.83;98957.12;273289.55
28.58;133.86;98961.18;273295.15
27.70;130.28;98965.60;273326.79
28.88;134.67;98977.88;273370.52
27.57;129.37;98981.75;273411.63
28.22;132.07;98986.26;273486.06
28.06;131.21;98995.11;273545.71
27.75;129.81;98999.53;273549.47
28.26;131.37;99031.77;273787.56
28.65;132.91;99034.22;273789.02
28.02;130.27;99036.58;273813.42
28.64;132.79;99037.97;273815.23
28.51;131.84;99062.80;273986.67
28.99;133.57;99070.48;273998.31
28.54;131.62;99082.03;274112.68
27.76;127.64;99102.07;274190.37
28.49;130.98;99107.41;274282.10
28.25;129.74;99116.04;274335.73
28.78;131.95;99118.94;274344.42
28.00;128.40;99121.89;274348.70
28.97;132.62;99123.29;274356.93
28.84;132.04;99128.69;274403.46
29.29;133.59;99139.57;274421.47
29.14;132.88;99148.12;274502.75
28.53;130.36;99148.19;274547.63
28.83;131.49;99156.44;274588.07
28.19;128.58;99159.27;274600.29
29.25;132.96;99167.85;274620.08
28.33;128.96;99172.65;274696.70
29.22;132.65;99179.99;274706.21
27.78;125.60;99194.43;274721.85
28.51;129.27;99198.10;274867.73
28.40;128.55;99206.89;274913.80
29.29;132.24;99220.80;274970.18
28.66;129.14;99239.47;275131.49
28.80;129.73;99241.74;275146.09
28.33;127.32;99246.79;275149.80
28.94;130.04;99258.46;275250.65
29.46;132.11;99267.28;275257.78
28.59;128.20;99268.48;275307.83
29.32;131.44;99273.96;275318.72
29.38;131.56;99280.54;275356.05
28.63;128.14;99281.00;275387.54
28.62;128.03;99282.96;275398.63
28.90;129.19;99292.85;275470.29
29.15;130.31;99295.64;275477.22
28.56;127.42;99296.95;275478.27
29.59;132.00;99304.71;275487.55
28.72;128.04;99304.86;275539.16
29.25;130.44;99311.61;275573.49
28.42;125.90;99327.95;275630.71
29.19;129.64;99337.22;275746.00
28.82;127.61;99347.32;275804.19
28.97;128.27;99352.11;275841.78
28.86;127.60;99357.23;275866.59
29.36;130.00;99359.20;275875.50
29.83;131.70;99377.73;275938.48
28.98;127.74;99380.61;276016.16
29.49;130.10;99383.97;276024.81
29.24;128.92;99386.35;276057.52
29.56;130.26;99393.53;276079.01
28.80;126.42;99395.55;276084.74
29.34;129.11;99399.57;276136.20
28.72;125.65;99409.46;276147.05
28.72;125.56;99412.31;276161.64
29.01;127.13;99414.10;276216.15
28.82;125.66;99431.55;276287.16
29.14;127.36;99435.34;276351.58
29.47;128.72;99449.25;276443.44
30.14;131.44;99463.11;276453.63
29.12;126.46;99470.07;276550.18
29.12;126.28;99478.93;276601.44
30.42;132.02;99496.39;276619.37
28.95;124.85;99496.98;276666.31
29.02;125.10;99502.99;276714.07
30.27;131.17;99509.60;276738.24
29.41;127.04;99513.80;276828.59
29.68;128.37;99516.64;276852.19
29.44;127.08;99519.49;276864.26
29.18;125.48;99525.19;276866.58
29.35;126.43;99527.31;276901.25
29.40;126.67;99528.84;276914.77
29.45;126.72;99538.97;276977.75
29.96;129.22;99539.88;276980.72
29.65;127.56;99547.27;277035.73
29.99;129.20;99549.59;277038.19
29.61;127.25;99551.60;277060.35
29.80;128.16;99554.61;277080.62
29.53;126.49;99567.67;277149.93
29.37;125.42;99573.34;277161.74
29.72;127.09;99585.90;277266.23
30.23;129.51;99590.93;277271.71
29.93;128.01;99594.66;277319.01
30.04;128.07;99615.73;277443.08
30.36;129.51;99622.00;277452.38
29.60;125.49;99626.52;277487.62
29.60;125.45;99628.81;277500.32
29.93;127.21;99629.87;277529.10
29.55;124.98;99635.94;277529.15
29.80;126.32;99639.07;277578.24
30.62;129.93;99660.31;277659.98
29.58;124.50;99660.59;277660.70
29.58;124.25;99670.15;277708.22
30.29;128.20;99670.33;277757.52
29.91;126.20;99670.36;277761.64
30.38;128.58;99673.28;277767.41
30.48;129.01;99676.53;277776.09
30.46;128.76;99683.95;277823.96
30.25;127.56;99692.98;277895.89
30.82;130.00;99706.53;277914.85
30.13;126.60;99706.76;277977.89
30.39;127.88;99711.72;277998.85
30.34;127.41;99721.82;278062.71
30.09;125.95;99725.55;278081.68
30.27;126.83;99731.40;278119.65
30.39;127.38;99735.07;278137.99
30.01;124.94;99748.11;278197.43
30.20;126.05;99748.73;278216.81
30.22;125.99;99755.92;278257.76
30.32;126.51;99757.08;278266.10
30.36;126.58;99765.22;278312.15
30.72;128.33;99769.91;278315.19
30.49;127.06;99774.31;278362.04
30.79;128.29;99788.45;278418.28
30.61;127.35;99791.96;278456.37
30.72;127.84;99793.76;278457.75
30.72;127.83;99794.03;278459.40
30.07;124.03;99799.82;278468.08
30.87;128.43;99802.92;278493.76
30.77;127.77;99810.46;278550.91
30.61;126.78;99816.83;278600.59
30.35;125.12;99826.01;278646.47
30.82;127.48;99836.12;278697.11
30.57;126.13;99837.66;278717.85
30.26;124.01;99847.80;278743.50
30.40;124.77;99853.00;278792.21
30.86;127.33;99853.42;278794.50
30.55;125.38;99865.24;278867.51
31.08;127.57;99897.73;279032.87
30.50;124.13;99903.13;279058.46
31.09;127.41;99906.62;279084.05
31.65;129.58;99929.83;279146.53
31.37;128.16;99938.42;279239.25
31.17;127.11;99941.22;279276.75
30.67;123.71;99961.67;279373.07
31.22;126.94;99961.76;279389.33
