azimuth_angle;tilt_angle;weighted_energy_mismatch_kWh;total_energy_production_kWh
90.00;16.68;130595.98;249210.88
90.00;16.71;130599.18;249257.65
90.00;16.71;130599.77;249266.24
90.00;16.72;130601.45;249290.86
90.00;16.73;130602.16;249301.17
90.00;16.75;130604.55;249335.91
90.00;16.75;130605.04;249343.03
90.00;16.76;130606.92;249370.43
90.00;16.76;130606.98;249371.36
90.00;16.80;130611.52;249437.37
90.00;16.80;130611.66;249439.35
90.00;16.87;130621.68;249581.19
90.00;16.88;130623.00;249599.80
90.00;16.89;130623.80;249610.96
90.00;16.93;130630.23;249701.24
90.00;16.94;130631.19;249714.59
90.00;16.94;130631.69;249721.58
90.00;16.95;130632.32;249730.39
90.00;16.97;130635.61;249776.22
90.00;16.99;130637.76;249806.07
90.00;16.99;130638.22;249812.47
90.00;17.01;130641.17;249853.58
90.00;17.03;130643.69;249888.37
90.00;17.06;130648.89;249957.49
90.00;17.10;130653.68;250020.69
90.00;17.14;130660.42;250108.40
90.00;17.15;130661.28;250119.62
90.00;17.22;130672.59;250266.28
90.00;17.22;130672.76;250268.57
90.00;17.22;130672.78;250268.75
90.00;17.24;130674.70;250293.49
90.00;17.27;130679.08;250349.73
90.00;17.27;130680.06;250362.43
90.00;17.30;130683.65;250408.54
90.00;17.33;130688.35;250468.72
90.00;17.34;130689.73;250486.21
90.00;17.35;130691.35;250506.74
90.00;17.37;130693.99;250539.76
90.00;17.37;130695.31;250556.11
90.00;17.38;130696.27;250567.93
90.00;17.38;130696.76;250573.92
90.00;17.39;130697.88;250587.54
90.00;17.40;130700.17;250615.46
90.00;17.43;130703.49;250655.96
90.00;17.43;130703.66;250658.01
90.00;17.43;130704.19;250664.53
90.00;17.44;130706.46;250691.93
90.00;17.48;130712.24;250761.80
90.00;17.49;130712.98;250770.66
90.00;17.51;130717.04;250819.12
90.00;17.51;130717.33;250822.51
90.00;17.56;130724.86;250910.66
90.00;17.57;130727.01;250935.81
90.00;17.60;130731.14;250984.15
90.00;17.60;130731.84;250992.41
90.00;17.67;130742.51;251116.87
90.00;17.67;130743.86;251132.60
90.00;17.68;130744.91;251144.72
90.00;17.71;130750.33;251207.74
90.00;17.74;130754.28;251253.59
90.00;17.79;130763.03;251354.53
90.00;17.83;130769.55;251428.05
90.00;17.85;130772.54;251461.57
90.00;17.86;130774.41;251482.48
90.00;17.91;130782.39;251571.23
90.00;17.93;130786.31;251614.46
90.00;17.94;130788.04;251633.53
90.00;17.98;130794.83;251708.22
90.00;17.99;130796.36;251724.93
90.00;17.99;130797.08;251732.71
90.00;18.01;130800.51;251770.05
90.00;18.03;130803.78;251805.70
90.00;18.05;130806.67;251837.05
90.00;18.06;130808.85;251860.83
90.00;18.08;130812.09;251896.05
90.00;18.09;130813.63;251912.86
90.00;18.11;130817.33;251953.07
90.00;18.14;130822.14;252005.40
90.00;18.14;130823.19;252016.85
90.00;18.22;130836.42;252160.83
90.00;18.22;130836.96;252166.67
90.00;18.22;130837.49;252172.37
90.00;18.24;130839.74;252196.60
90.00;18.24;130841.03;252210.51
90.00;18.26;130842.89;252230.49
90.00;18.27;130846.27;252266.23
90.00;18.29;130849.19;252296.99
90.00;18.29;130849.76;252302.94
90.00;18.32;130854.28;252350.24
90.00;18.35;130859.94;252408.85
90.00;18.35;130860.09;252410.37
90.00;18.38;130865.40;252464.67
90.00;18.41;130870.30;252514.43
90.00;18.42;130872.85;252540.38
90.00;18.42;130873.48;252546.80
90.00;18.44;130875.58;252568.11
90.00;18.46;130879.97;252612.76
90.00;18.47;130882.04;252633.76
90.00;18.50;130887.42;252688.45
90.00;18.53;130892.18;252736.47
90.00;18.53;130893.22;252746.90
90.00;18.55;130896.73;252782.15
90.00;18.58;130902.11;252836.25
90.00;18.59;130903.18;252847.00
90.00;18.60;130905.45;252869.81
90.00;18.62;130908.74;252902.65
90.00;18.67;130918.94;253002.80
90.00;18.67;130919.49;253008.18
90.00;18.68;130919.97;253012.87
90.00;18.68;130921.52;253027.90
90.00;18.72;130929.27;253102.97
90.00;18.74;130931.59;253125.37
90.00;18.77;130938.54;253192.03
90.00;18.78;130939.38;253200.11
90.00;18.80;130943.84;253242.63
90.00;18.82;130947.48;253277.31
90.00;18.82;130947.81;253280.45
90.00;18.83;130949.73;253298.70
90.00;18.84;130952.16;253321.85
90.00;18.88;130958.40;253380.80
90.00;18.89;130961.43;253409.36
90.00;18.93;130968.15;253472.73
90.00;18.97;130976.50;253551.17
90.00;18.97;130977.40;253559.62
90.00;19.05;130991.69;253692.40
90.00;19.09;131000.84;253776.52
90.00;19.09;131001.13;253779.15
90.00;19.12;131005.60;253819.90
90.00;19.12;131006.27;253826.05
90.00;19.14;131011.45;253873.10
90.00;19.16;131014.77;253903.08
90.00;19.18;131018.76;253939.12
90.00;19.21;131023.71;253983.91
90.00;19.22;131026.48;254008.93
90.00;19.23;131028.10;254023.55
90.00;19.26;131034.23;254078.97
90.00;19.29;131040.23;254133.16
90.00;19.30;131041.88;254147.99
90.00;19.30;131042.00;254149.12
90.00;19.30;131043.06;254158.63
90.00;19.30;131043.49;254162.46
90.00;19.34;131051.05;254230.31
90.00;19.35;131053.48;254252.15
90.00;19.36;131055.49;254270.13
90.00;19.43;131068.22;254384.32
90.00;19.45;131073.84;254434.56
90.00;19.47;131077.72;254469.08
90.00;19.53;131090.10;254577.76
90.00;19.53;131090.16;254578.27
90.00;19.55;131093.81;254610.16
90.00;19.55;131094.42;254615.46
90.00;19.57;131097.01;254638.06
90.00;19.64;131112.77;254775.52
90.00;19.65;131113.90;254785.29
90.00;19.67;131118.15;254821.95
90.00;19.70;131124.28;254874.56
90.00;19.73;131131.10;254933.13
90.00;19.77;131139.71;255006.87
90.00;19.78;131141.72;255023.82
90.00;19.78;131141.98;255026.01
90.00;19.83;131151.27;255104.04
90.00;19.86;131157.39;255155.49
90.00;19.87;131160.34;255180.26
90.00;19.88;131161.79;255192.43
90.00;19.89;131165.44;255223.05
90.00;19.90;131166.16;255229.12
90.00;19.90;131166.65;255233.18
90.00;19.93;131173.66;255292.04
90.00;19.94;131175.23;255305.08
90.00;19.94;131175.77;255309.65
90.00;19.96;131180.06;255345.42
90.00;20.01;131191.10;255437.49
90.00;20.03;131195.43;255473.48
90.00;20.04;131197.33;255489.29
90.00;20.07;131202.39;255531.04
90.00;20.07;131203.78;255542.52
90.00;20.12;131212.68;255615.70
90.00;20.12;131213.78;255624.71
90.00;20.12;131214.67;255632.05
90.00;20.14;131218.97;255667.39
90.00;20.14;131219.12;255668.62
90.00;20.16;131222.39;255695.03
90.00;20.17;131224.77;255714.29
90.00;20.19;131228.13;255741.36
90.00;20.24;131239.35;255831.66
90.00;20.25;131241.63;255849.97
90.00;20.28;131249.40;255912.21
90.00;20.36;131266.37;256046.84
90.00;20.43;131282.41;256173.86
90.00;20.44;131284.20;256188.01
90.00;20.45;131285.28;256196.50
90.00;20.46;131288.06;256218.48
90.00;20.49;131294.17;256266.78
90.00;20.51;131298.75;256302.96
90.00;20.55;131308.28;256378.30
90.00;20.56;131310.85;256398.60
90.00;20.58;131314.55;256427.75
90.00;20.58;131315.51;256435.24
90.00;20.60;131319.12;256463.55
90.00;20.61;131322.02;256486.16
90.00;20.67;131334.65;256584.70
90.00;20.67;131334.83;256586.04
90.00;20.71;131345.02;256665.04
90.00;20.72;131345.54;256669.06
90.00;20.73;131348.58;256692.32
90.00;20.73;131349.27;256697.59
90.00;20.78;131358.93;256771.31
90.00;20.79;131361.15;256788.22
90.00;20.80;131365.47;256821.10
90.00;20.83;131371.80;256869.20
90.00;20.84;131373.23;256879.93
90.00;20.87;131379.36;256926.05
90.00;20.89;131384.91;256967.65
90.00;20.90;131387.41;256986.44
90.00;20.91;131388.58;256995.22
90.00;20.91;131389.20;256999.84
90.00;20.91;131390.68;257010.92
90.00;20.98;131405.26;257119.64
90.00;20.98;131405.66;257122.62
90.00;20.99;131407.14;257133.56
90.00;20.99;131407.31;257134.79
90.00;21.02;131415.03;257191.59
90.00;21.02;131415.20;257192.82
90.00;21.06;131424.10;257258.20
90.00;21.06;131424.14;257258.50
90.00;21.06;131425.57;257269.01
90.00;21.08;131429.17;257295.34
90.00;21.15;131445.09;257410.61
90.00;21.17;131449.69;257443.71
90.00;21.17;131451.00;257453.09
90.00;21.18;131453.23;257469.11
90.00;21.21;131459.88;257516.91
90.00;21.26;131472.07;257604.44
90.00;21.28;131475.58;257629.65
90.00;21.29;131478.34;257649.41
90.00;21.30;131482.12;257676.36
90.00;21.32;131486.79;257709.35
90.00;21.33;131487.89;257717.09
90.00;21.33;131488.60;257722.14
90.00;21.33;131489.14;257725.96
90.00;21.34;131490.73;257737.16
90.00;21.35;131493.14;257754.18
90.00;21.36;131494.84;257766.25
90.00;21.36;131495.69;257772.25
90.00;21.37;131498.59;257792.76
90.00;21.40;131504.46;257834.20
90.00;21.44;131514.40;257904.55
90.00;21.48;131523.27;257967.30
90.00;21.51;131532.43;258032.08
90.00;21.53;131537.11;258065.16
90.00;21.56;131542.80;258105.38
90.00;21.59;131549.91;258155.60
90.00;21.60;131553.42;258180.36
90.00;21.61;131555.19;258192.83
90.00;21.63;131559.51;258223.30
90.00;21.64;131563.51;258251.35
90.00;21.65;131564.06;258255.22
90.00;21.67;131568.91;258289.19
90.00;21.73;131585.32;258404.24
90.00;21.74;131587.44;258419.08
90.00;21.78;131596.97;258485.63
90.00;21.79;131599.40;258502.53
90.00;21.80;131600.62;258511.03
90.00;21.83;131608.45;258565.56
90.00;21.83;131609.08;258569.97
90.00;21.84;131610.65;258580.93
90.00;21.85;131613.05;258597.63
90.00;21.89;131622.63;258664.34
90.00;21.89;131623.29;258668.95
90.00;21.92;131628.82;258707.25
90.00;21.95;131637.53;258767.23
90.00;21.97;131641.27;258792.99
90.00;22.01;131650.78;258858.30
90.00;22.02;131653.77;258878.76
90.00;22.04;131659.06;258914.55
90.00;22.06;131663.95;258947.51
90.00;22.07;131665.33;258956.74
90.00;22.07;131665.65;258958.90
90.00;22.10;131672.42;259003.75
90.00;22.10;131674.80;259019.51
90.00;22.12;131677.51;259037.44
90.00;22.13;131680.66;259058.26
90.00;22.16;131687.75;259105.26
90.00;22.17;131691.45;259129.74
90.00;22.18;131693.58;259143.80
90.00;22.19;131696.32;259161.95
90.00;22.23;131706.48;259229.17
90.00;22.23;131706.83;259231.49
90.00;22.24;131709.07;259246.29
90.00;22.26;131713.81;259277.69
90.00;22.28;131717.49;259301.93
90.00;22.30;131723.38;259340.69
90.00;22.30;131723.44;259341.03
90.00;22.31;131725.33;259353.50
90.00;22.32;131728.98;259377.31
90.00;22.33;131730.59;259387.75
90.00;22.37;131740.93;259455.02
90.00;22.40;131747.67;259498.78
90.00;22.40;131748.85;259506.50
90.00;22.40;131749.43;259510.25
90.00;22.42;131754.64;259544.07
90.00;22.46;131763.07;259598.88
90.00;22.47;131765.67;259615.75
90.00;22.48;131769.46;259640.36
90.00;22.50;131772.91;259662.70
90.00;22.51;131776.58;259686.38
90.00;22.53;131781.96;259721.00
90.00;22.55;131786.55;259750.45
90.00;22.58;131793.85;259797.19
90.00;22.61;131801.11;259843.23
90.00;22.61;131801.97;259848.66
90.00;22.63;131805.76;259872.52
90.00;22.66;131814.60;259927.74
90.00;22.66;131815.62;259934.10
90.00;22.69;131823.23;259981.19
90.00;22.71;131828.27;260012.30
90.00;22.79;131848.48;260136.31
90.00;22.79;131849.10;260140.07
90.00;22.80;131850.87;260150.76
90.00;22.81;131853.86;260168.61
90.00;22.85;131864.72;260233.37
90.00;22.87;131869.86;260263.97
90.00;22.87;131870.08;260265.30
90.00;22.87;131870.36;260266.94
90.00;22.88;131871.94;260276.33
90.00;22.88;131873.60;260286.24
90.00;22.89;131874.62;260292.30
90.00;22.89;131876.31;260302.39
90.00;22.90;131877.37;260308.69
90.00;22.91;131880.66;260328.14
90.00;22.94;131889.66;260380.67
90.00;22.96;131894.30;260407.52
90.00;22.99;131902.85;260456.96
90.00;23.00;131906.09;260475.70
90.00;23.01;131908.12;260487.44
90.00;23.02;131912.80;260514.50
90.00;23.03;131914.00;260521.47
90.00;23.04;131916.31;260534.77
90.00;23.07;131926.22;260591.98
90.00;23.09;131931.48;260622.23
90.00;23.10;131934.65;260640.49
90.00;23.11;131937.35;260656.02
90.00;23.12;131938.99;260665.43
90.00;23.13;131941.15;260677.82
90.00;23.16;131949.99;260728.44
90.00;23.17;131952.36;260741.96
90.00;23.17;131954.45;260753.87
90.00;23.18;131955.83;260761.72
90.00;23.18;131956.09;260763.20
90.00;23.19;131959.47;260782.45
90.00;23.21;131964.48;260811.01
90.00;23.21;131964.48;260811.03
90.00;23.21;131965.48;260816.71
90.00;23.25;131976.33;260878.54
90.00;23.25;131976.97;260882.17
90.00;23.27;131980.07;260899.82
90.00;23.27;131981.82;260909.79
