Scenario,Optimal_Battery_Capacity_kWh,Battery_Self_Consumption_pct,Battery_Self_Sufficiency_pct,Battery_Payback_Years
Maximize Production,101.0,88.27097383298202,27.47931739166823,4.900204079351439
Best Economics,101.0,89.3434202609724,27.640354243464603,4.950979050989551
Maximize Self-Consumption,101.0,100.03866560339532,9.60185861600312,inf
Maximize Self-Sufficiency,101.0,90.68923855024961,27.62999101194868,5.064367647112321
Balanced Approach,101.0,89.24287468666266,27.634212988682126,4.944574730283697
