Scenario,Optimal_Tilt_deg,Optimal_Azimuth_deg,Total_Production_kWh,Constraint_Value,Self_Sufficiency_pct,Self_Consumption_pct,Constraint_Satisfied,Objective_Value
Maximize Production,54.220128651397836,117.02693446680648,296527.6746466766,141870.9462867976,24.388082855835073,78.3410953380063,True,-296527.6746466766
Best Economics,46.96382692181442,120.94080347543893,294685.14247329533,139613.98622697042,24.580821992021583,79.45392776985122,True,90795.17221233361
Maximize Self-Consumption,76.07498033142133,243.90105225217118,91424.92783229952,179190.44308707752,9.598147434382843,100.0,True,-100.0
Maximize Self-Sufficiency,40.0933810378056,121.92094689878272,290203.2004402453,137214.35429759647,24.638960119600597,80.87185156702488,True,-24.638960119600597
Balanced Approach,47.53966081602744,120.72307041343377,294951.6015842357,139808.7589425842,24.57071796454029,79.34951884350271,True,-0.7050295125364432
