datetime,SolRad_Hor,SolRad_Dif,Air Temp,WS_10m,zenith,azimuth,Load (kW),DNI,total_irradiance,cell_temperature,dc_power_output_per_panel,ac_power_output,E_incident,E_effective,E_ac,temperature_factor,PR,mismatch,weighting_factor,optimal_tilt,optimal_azimuth,optimal_battery_capacity,hour,day,month,dayofweek,is_weekend,param_number_of_panels,param_panel_area,param_total_panel_area,param_panel_efficiency,param_panel_power,param_temp_coeff,param_battery_efficiency,param_depth_of_discharge
2023-01-31 06:00:00+02:00,45.0,41.0,16.3,,108.05916539563471,98.39718477098029,93.17,0.0,36.82256084635106,17.56577552909332,8.073099817493976,6548.898571951113,51090.93494870363,45244.47423278747,6548.898571951113,1.0327105876719893,0.8779535883603201,,0.0,44.014518456806286,122.55138883577688,51.0,6,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 07:00:00+02:00,147.0,128.0,16.38,,96.53323913358885,107.0828281051414,93.17,0.0,115.18684629342971,20.339547841336646,24.955492781400658,20243.895744272213,159820.5973636708,141531.9352943801,20243.895744272213,1.0205059894981188,0.8675779120680878,,0.0,44.014518456806286,122.55138883577688,51.0,7,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 08:00:00+02:00,386.0,150.0,16.38,,85.37243596486017,116.25932810271559,108.528452354903,320.5736197222811,668.4645934016802,39.35847039818276,132.94852782099278,107847.84576838934,927487.9386988973,821353.2241250989,107847.84576838934,0.9368227302479959,0.7964350201278069,,0.4566543533724523,44.014518456806286,122.55138883577688,51.0,8,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 09:00:00+02:00,471.0,207.0,16.4,,75.38804346887412,126.54935963036888,108.893289355881,623.6059483145222,956.8279232267846,49.29095986092072,181.42254346045993,147169.96725512508,1327589.1751979315,1175669.8970038027,147169.96725512508,0.8931197766119489,0.7592811791342652,,0.46750208730540727,44.014518456806286,122.55138883577688,51.0,9,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 10:00:00+02:00,525.0,226.0,16.39,,66.68781590766713,138.5525331400097,109.669955560112,839.5895753521123,1156.6581077559329,56.150122454110196,211.90101639500773,171894.10449963028,1604851.5579302793,1421204.4667635849,171894.10449963028,0.8629394612019151,0.7336235393962852,,0.49059477887899045,44.014518456806286,122.55138883577688,51.0,10,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 11:00:00+02:00,577.0,159.0,16.34,,59.999678478950045,152.71605183702536,108.455027022324,942.3464537676322,1081.8638837926335,53.529071005371776,200.8474298948854,162927.43513073103,1501075.320123441,1329303.5978101923,162927.43513073103,0.8744720875763642,0.7434279423234318,,0.4544711908378944,44.014518456806286,122.55138883577688,51.0,11,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 12:00:00+02:00,500.0,173.0,16.3,,56.09669104433182,168.95568687102968,108.098401476048,611.5716221478854,697.8306351777434,40.287928084234935,138.18316383093676,112094.1824996559,968233.0280027671,857435.7531485443,112094.1824996559,0.9327331164293663,0.7929582559985965,,0.4438676088839628,44.014518456806286,122.55138883577688,51.0,12,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 13:00:00+02:00,420.0,102.0,16.26,,55.58887143449688,186.25274493093207,107.478330118112,307.37495637331455,312.29315643313936,26.995077252389166,65.71748808241463,53310.02633245475,433303.6316194165,383719.63667255937,53310.02633245475,0.9912216600894876,0.842681990215489,,0.4254309670622595,44.014518456806286,122.55138883577688,51.0,13,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 14:00:00+02:00,256.0,85.0,16.27,,58.56672375105343,202.94351867213297,107.139951596703,60.12744606090838,110.73076218404812,20.076369950076653,24.01729388020806,19482.82879562478,153637.82522274493,136056.67290002035,19482.82879562478,1.0216639722196628,0.8685623651159942,,0.41536992566834435,44.014518456806286,122.55138883577688,51.0,14,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 15:00:00+02:00,33.0,33.0,16.32,,64.53691704480654,217.74959185277288,107.635115947965,0.0,29.5246514604097,17.334909893951583,6.479449208892018,5256.129198253205,40965.158654803854,36277.41529999839,5256.129198253205,1.033726396466613,0.8788171729763529,,0.4300926953467915,44.014518456806286,122.55138883577688,51.0,15,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 16:00:00+02:00,0.0,0.0,17.58,,72.73733871447644,230.3462677799369,108.074433453845,0.0,0.0,17.58,0.0,0.0,0.0,0.0,0.0,1.032648,0.0,,0.4431549653553178,44.014518456806286,122.55138883577688,51.0,16,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 17:00:00+02:00,0.0,0.0,17.23,,82.43308680396068,241.07865024803417,108.815846907887,0.0,0.0,17.23,0.0,0.0,0.0,0.0,0.0,1.034188,0.0,,0.4651994834886246,44.014518456806286,122.55138883577688,51.0,17,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
2023-01-31 18:00:00+02:00,0.0,0.0,16.87,,93.31867175480009,250.52761085420974,110.67,0.0,0.0,16.87,0.0,0.0,0.0,0.0,0.0,1.035772,0.0,,0.0,44.014518456806286,122.55138883577688,51.0,18,31,1,1,False,845,1.6401,1385.8845,0.14633254069873788,240,-0.0044,0.9,0.8
